"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","7","0.0-0.0","6400d9235287137e7b62fd29","bdp_lott","Sun Apr 09 2023 16:27:08 GMT-0700 (Pacific Daylight Time)","282282","red","green","","","","","","","","","","","","","","","","","",""
"","","","","6400d9235287137e7b62fd29","bdp_lott","Sun Apr 09 2023 16:27:08 GMT-0700 (Pacific Daylight Time)","282282","red","green","blur","1","1695","blurevent","1","","","","","","","","","","","","",""
"","","","","6400d9235287137e7b62fd29","bdp_lott","Sun Apr 09 2023 16:27:08 GMT-0700 (Pacific Daylight Time)","282282","red","green","focus","1","31568","focusevent","","","","","","","","","","","","","",""
"instructions","1","32813","0.0-1.0","6400d9235287137e7b62fd29","bdp_lott","Sun Apr 09 2023 16:27:08 GMT-0700 (Pacific Daylight Time)","282282","red","green","","","","","","[{""page_index"":0,""viewing_time"":32805}]","32805","","","","","","","","","","",""
"","","","","6400d9235287137e7b62fd29","bdp_lott","Sun Apr 09 2023 16:27:08 GMT-0700 (Pacific Daylight Time)","282282","red","green","fullscreenenter","2","36478","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","37449","0.0-2.0","6400d9235287137e7b62fd29","bdp_lott","Sun Apr 09 2023 16:27:08 GMT-0700 (Pacific Daylight Time)","282282","red","green","","","","","","","","true","","","","","","","","","",""
"instructions","3","47205","0.0-4.0","6400d9235287137e7b62fd29","bdp_lott","Sun Apr 09 2023 16:27:08 GMT-0700 (Pacific Daylight Time)","282282","red","green","","","","","","[{""page_index"":0,""viewing_time"":9752}]","9753","","","","","","","","","","",""
"image-keyboard-response","4","50256","0.0-5.0-0.0-0.0","6400d9235287137e7b62fd29","bdp_lott","Sun Apr 09 2023 16:27:08 GMT-0700 (Pacific Daylight Time)","282282","red","green","","","","blurwarn","1","","3048","","","49","","","","","","","",""
"image-keyboard-response","5","51685","0.0-5.0-1.0","6400d9235287137e7b62fd29","bdp_lott","Sun Apr 09 2023 16:27:08 GMT-0700 (Pacific Daylight Time)","282282","red","green","","","","choice","","","1163","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","l","",""
"animation","6","52289","0.0-5.0-2.0","6400d9235287137e7b62fd29","bdp_lott","Sun Apr 09 2023 16:27:08 GMT-0700 (Pacific Daylight Time)","282282","red","green","","","","","","","","","","","225","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":57},{""stimulus"":""img/green_ll/2.jpg"",""time"":106},{""stimulus"":""img/green_ll/3.jpg"",""time"":154},{""stimulus"":""img/green_ll/4.jpg"",""time"":203},{""stimulus"":""img/green_ll/5.jpg"",""time"":252},{""stimulus"":""img/green_ll/6.jpg"",""time"":312},{""stimulus"":""img/green_ll/7.jpg"",""time"":354},{""stimulus"":""img/green_ll/8.jpg"",""time"":403},{""stimulus"":""img/green_ll/9.jpg"",""time"":455},{""stimulus"":""img/green_ll/10.jpg"",""time"":504},{""stimulus"":""img/green_ll/11.jpg"",""time"":561}]","[]"
"image-keyboard-response","7","53208","0.0-5.0-1.1","6400d9235287137e7b62fd29","bdp_lott","Sun Apr 09 2023 16:27:08 GMT-0700 (Pacific Daylight Time)","282282","red","green","","","","choice","","","917","","img/green_ll/choose11.jpg","2","224","red","0.5","0.5","0.5","w","",""
