"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"blur","0","0","blurevent","1","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","","","","","","","","","","","","","","","","",""
"","","","","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","pavlovia","0","16","0.0-0.0","","","","","","","","","","","","",""
"","","","","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","instructions","1","2332","0.0-1.0","[{""page_index"":0,""viewing_time"":2309}]","2310","","","","","","","","","","",""
"fullscreenenter","2","3917","fullscreenenter","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","","","","","","","","","","","","","","","","",""
"","","","","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","fullscreen","2","4841","0.0-2.0","","","true","","","","","","","","","",""
"","","","","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","instructions","3","22612","0.0-4.0","[{""page_index"":0,""viewing_time"":17765}]","17765","","","","","","","","","","",""
"","","","blurwarn","1","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","image-keyboard-response","4","41885","0.0-5.0-0.0-0.0","","19270","","","49","","","","","","","",""
"","","","choice","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","image-keyboard-response","5","43603","0.0-5.0-1.0","","1461","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","w","",""
"","","","","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","animation","6","44205","0.0-5.0-2.0","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":53},{""stimulus"":""img/green_wl/2.jpg"",""time"":101},{""stimulus"":""img/green_wl/3.jpg"",""time"":151},{""stimulus"":""img/green_wl/4.jpg"",""time"":202},{""stimulus"":""img/green_wl/5.jpg"",""time"":251},{""stimulus"":""img/green_wl/6.jpg"",""time"":315},{""stimulus"":""img/green_wl/7.jpg"",""time"":350},{""stimulus"":""img/green_wl/8.jpg"",""time"":409},{""stimulus"":""img/green_wl/9.jpg"",""time"":451},{""stimulus"":""img/green_wl/10.jpg"",""time"":502},{""stimulus"":""img/green_wl/11.jpg"",""time"":551}]","[]"
"","","","choice","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","image-keyboard-response","7","45672","0.0-5.0-1.1","","1466","","img/green_wl/choose11.jpg","1","224","green","0.5","0.5","0.5","l","",""
"","","","","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","animation","8","46274","0.0-5.0-2.1","","","","","","224","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":52},{""stimulus"":""img/green_ll/2.jpg"",""time"":101},{""stimulus"":""img/green_ll/3.jpg"",""time"":151},{""stimulus"":""img/green_ll/4.jpg"",""time"":201},{""stimulus"":""img/green_ll/5.jpg"",""time"":251},{""stimulus"":""img/green_ll/6.jpg"",""time"":301},{""stimulus"":""img/green_ll/7.jpg"",""time"":351},{""stimulus"":""img/green_ll/8.jpg"",""time"":401},{""stimulus"":""img/green_ll/9.jpg"",""time"":450},{""stimulus"":""img/green_ll/10.jpg"",""time"":501},{""stimulus"":""img/green_ll/11.jpg"",""time"":551}]","[]"
"","","","choice","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","image-keyboard-response","9","46953","0.0-5.0-1.2","","678","","img/green_ll/choose11.jpg","2","223","red","0.5","0.5","0.5","l","",""
"","","","","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","animation","10","47554","0.0-5.0-2.2","","","","","","223","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":52},{""stimulus"":""img/red_ll/2.jpg"",""time"":101},{""stimulus"":""img/red_ll/3.jpg"",""time"":150},{""stimulus"":""img/red_ll/4.jpg"",""time"":201},{""stimulus"":""img/red_ll/5.jpg"",""time"":251},{""stimulus"":""img/red_ll/6.jpg"",""time"":302},{""stimulus"":""img/red_ll/7.jpg"",""time"":351},{""stimulus"":""img/red_ll/8.jpg"",""time"":400},{""stimulus"":""img/red_ll/9.jpg"",""time"":451},{""stimulus"":""img/red_ll/10.jpg"",""time"":500},{""stimulus"":""img/red_ll/11.jpg"",""time"":551}]","[]"
"","","","choice","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","image-keyboard-response","11","48313","0.0-5.0-1.3","","757","","img/red_ll/choose11.jpg","2","222","red","0.5","0.5","0.5","w","",""
"","","","","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","animation","12","48914","0.0-5.0-2.3","","","","","","222","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":52},{""stimulus"":""img/red_lw/2.jpg"",""time"":101},{""stimulus"":""img/red_lw/3.jpg"",""time"":151},{""stimulus"":""img/red_lw/4.jpg"",""time"":201},{""stimulus"":""img/red_lw/5.jpg"",""time"":251},{""stimulus"":""img/red_lw/6.jpg"",""time"":301},{""stimulus"":""img/red_lw/7.jpg"",""time"":351},{""stimulus"":""img/red_lw/8.jpg"",""time"":401},{""stimulus"":""img/red_lw/9.jpg"",""time"":451},{""stimulus"":""img/red_lw/10.jpg"",""time"":502},{""stimulus"":""img/red_lw/11.jpg"",""time"":552}]","[]"
"","","","choice","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","image-keyboard-response","13","49623","0.0-5.0-1.4","","706","","img/red_lw/choose11.jpg","2","221","red","0.5","0.5","0.5","l","",""
"","","","","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","animation","14","50224","0.0-5.0-2.4","","","","","","221","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":51},{""stimulus"":""img/red_ll/2.jpg"",""time"":101},{""stimulus"":""img/red_ll/3.jpg"",""time"":151},{""stimulus"":""img/red_ll/4.jpg"",""time"":201},{""stimulus"":""img/red_ll/5.jpg"",""time"":252},{""stimulus"":""img/red_ll/6.jpg"",""time"":301},{""stimulus"":""img/red_ll/7.jpg"",""time"":351},{""stimulus"":""img/red_ll/8.jpg"",""time"":400},{""stimulus"":""img/red_ll/9.jpg"",""time"":451},{""stimulus"":""img/red_ll/10.jpg"",""time"":501},{""stimulus"":""img/red_ll/11.jpg"",""time"":551}]","[]"
"","","","choice","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","image-keyboard-response","15","51253","0.0-5.0-1.5","","1028","","img/red_ll/choose11.jpg","1","220","green","0.5","0.5","0.5","l","",""
"","","","","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","animation","16","51854","0.0-5.0-2.5","","","","","","220","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":52},{""stimulus"":""img/green_ll/2.jpg"",""time"":101},{""stimulus"":""img/green_ll/3.jpg"",""time"":151},{""stimulus"":""img/green_ll/4.jpg"",""time"":201},{""stimulus"":""img/green_ll/5.jpg"",""time"":251},{""stimulus"":""img/green_ll/6.jpg"",""time"":301},{""stimulus"":""img/green_ll/7.jpg"",""time"":351},{""stimulus"":""img/green_ll/8.jpg"",""time"":404},{""stimulus"":""img/green_ll/9.jpg"",""time"":451},{""stimulus"":""img/green_ll/10.jpg"",""time"":501},{""stimulus"":""img/green_ll/11.jpg"",""time"":550}]","[]"
"","","","choice","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","image-keyboard-response","17","52834","0.0-5.0-1.6","","977","","img/green_ll/choose11.jpg","1","219","green","0.5","0.5","0.5","w","",""
"","","","","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","animation","18","53435","0.0-5.0-2.6","","","","","","219","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":53},{""stimulus"":""img/green_wl/2.jpg"",""time"":108},{""stimulus"":""img/green_wl/3.jpg"",""time"":151},{""stimulus"":""img/green_wl/4.jpg"",""time"":201},{""stimulus"":""img/green_wl/5.jpg"",""time"":253},{""stimulus"":""img/green_wl/6.jpg"",""time"":309},{""stimulus"":""img/green_wl/7.jpg"",""time"":351},{""stimulus"":""img/green_wl/8.jpg"",""time"":401},{""stimulus"":""img/green_wl/9.jpg"",""time"":452},{""stimulus"":""img/green_wl/10.jpg"",""time"":501},{""stimulus"":""img/green_wl/11.jpg"",""time"":552}]","[]"
"","","","choice","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","image-keyboard-response","19","54253","0.0-5.0-1.7","","816","","img/green_wl/choose11.jpg","1","218","green","0.5","0.5","0.5","w","",""
"","","","","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","animation","20","54855","0.0-5.0-2.7","","","","","","218","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":52},{""stimulus"":""img/green_wl/2.jpg"",""time"":101},{""stimulus"":""img/green_wl/3.jpg"",""time"":151},{""stimulus"":""img/green_wl/4.jpg"",""time"":203},{""stimulus"":""img/green_wl/5.jpg"",""time"":251},{""stimulus"":""img/green_wl/6.jpg"",""time"":302},{""stimulus"":""img/green_wl/7.jpg"",""time"":350},{""stimulus"":""img/green_wl/8.jpg"",""time"":401},{""stimulus"":""img/green_wl/9.jpg"",""time"":452},{""stimulus"":""img/green_wl/10.jpg"",""time"":501},{""stimulus"":""img/green_wl/11.jpg"",""time"":559}]","[]"
"","","","choice","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","image-keyboard-response","21","55554","0.0-5.0-1.8","","697","","img/green_wl/choose11.jpg","1","217","green","0.5","0.5","0.5","w","",""
"","","","","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","animation","22","56155","0.0-5.0-2.8","","","","","","217","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":53},{""stimulus"":""img/green_wl/2.jpg"",""time"":107},{""stimulus"":""img/green_wl/3.jpg"",""time"":154},{""stimulus"":""img/green_wl/4.jpg"",""time"":201},{""stimulus"":""img/green_wl/5.jpg"",""time"":251},{""stimulus"":""img/green_wl/6.jpg"",""time"":302},{""stimulus"":""img/green_wl/7.jpg"",""time"":356},{""stimulus"":""img/green_wl/8.jpg"",""time"":403},{""stimulus"":""img/green_wl/9.jpg"",""time"":451},{""stimulus"":""img/green_wl/10.jpg"",""time"":514},{""stimulus"":""img/green_wl/11.jpg"",""time"":552}]","[]"
"","","","choice","","611343092396f1d9ed7018ad","bdp_lott","Sun Apr 16 2023 19:40:55 GMT-0600 (Mountain Daylight Time)","274743","red","green","image-keyboard-response","23","56873","0.0-5.0-1.9","","716","","img/green_wl/choose11.jpg","1","216","green","0.5","0.5","0.5","w","",""
