"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","2","0.0-0.0","fertuck1","bdp_lott","Sun Feb 26 2023 12:59:13 GMT-0500 (Eastern Standard Time)","236126","green","red","","","","","","","","","","","","","","","","","",""
"instructions","1","3507","0.0-1.0","fertuck1","bdp_lott","Sun Feb 26 2023 12:59:13 GMT-0500 (Eastern Standard Time)","236126","green","red","[{""page_index"":0,""viewing_time"":3504}]","3504","","","","","","","","","","","","","","","",""
"","","","","fertuck1","bdp_lott","Sun Feb 26 2023 12:59:13 GMT-0500 (Eastern Standard Time)","236126","green","red","","","blur","2","5977","blurevent","1","","","","","","","","","","",""
"","","","","fertuck1","bdp_lott","Sun Feb 26 2023 12:59:13 GMT-0500 (Eastern Standard Time)","236126","green","red","","","focus","2","7570","focusevent","","","","","","","","","","","",""
"","","","","fertuck1","bdp_lott","Sun Feb 26 2023 12:59:13 GMT-0500 (Eastern Standard Time)","236126","green","red","","","fullscreenenter","2","8733","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","9724","0.0-2.0","fertuck1","bdp_lott","Sun Feb 26 2023 12:59:13 GMT-0500 (Eastern Standard Time)","236126","green","red","","","","","","","","true","","","","","","","","","",""
"instructions","3","24784","0.0-4.0","fertuck1","bdp_lott","Sun Feb 26 2023 12:59:13 GMT-0500 (Eastern Standard Time)","236126","green","red","[{""page_index"":0,""viewing_time"":15059}]","15059","","","","","","","","","","","","","","","",""
"image-keyboard-response","4","28659","0.0-5.0-0.0-0.0","fertuck1","bdp_lott","Sun Feb 26 2023 12:59:13 GMT-0500 (Eastern Standard Time)","236126","green","red","","3872","","","","blurwarn","1","","","49","","","","","","","",""
"image-keyboard-response","5","31586","0.0-5.0-1.0","fertuck1","bdp_lott","Sun Feb 26 2023 12:59:13 GMT-0500 (Eastern Standard Time)","236126","green","red","","2672","","","","","","","img/red_ll/initchoose11.jpg","1","225","green","0.6","0.6","0.6","w","",""
"animation","6","32193","0.0-5.0-2.0","fertuck1","bdp_lott","Sun Feb 26 2023 12:59:13 GMT-0500 (Eastern Standard Time)","236126","green","red","","","","","","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":54},{""stimulus"":""img/green_wl/2.jpg"",""time"":105},{""stimulus"":""img/green_wl/3.jpg"",""time"":154},{""stimulus"":""img/green_wl/4.jpg"",""time"":206},{""stimulus"":""img/green_wl/5.jpg"",""time"":255},{""stimulus"":""img/green_wl/6.jpg"",""time"":304},{""stimulus"":""img/green_wl/7.jpg"",""time"":355},{""stimulus"":""img/green_wl/8.jpg"",""time"":405},{""stimulus"":""img/green_wl/9.jpg"",""time"":454},{""stimulus"":""img/green_wl/10.jpg"",""time"":504},{""stimulus"":""img/green_wl/11.jpg"",""time"":554}]","[]"
"image-keyboard-response","7","33420","0.0-5.0-1.1","fertuck1","bdp_lott","Sun Feb 26 2023 12:59:13 GMT-0500 (Eastern Standard Time)","236126","green","red","","1226","","","","","","","img/green_wl/choose11.jpg","1","224","green","0.6","0.6","0.6","w","",""
"animation","8","34024","0.0-5.0-2.1","fertuck1","bdp_lott","Sun Feb 26 2023 12:59:13 GMT-0500 (Eastern Standard Time)","236126","green","red","","","","","","","","","","","224","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":52},{""stimulus"":""img/green_wl/2.jpg"",""time"":103},{""stimulus"":""img/green_wl/3.jpg"",""time"":153},{""stimulus"":""img/green_wl/4.jpg"",""time"":203},{""stimulus"":""img/green_wl/5.jpg"",""time"":255},{""stimulus"":""img/green_wl/6.jpg"",""time"":304},{""stimulus"":""img/green_wl/7.jpg"",""time"":353},{""stimulus"":""img/green_wl/8.jpg"",""time"":404},{""stimulus"":""img/green_wl/9.jpg"",""time"":453},{""stimulus"":""img/green_wl/10.jpg"",""time"":503},{""stimulus"":""img/green_wl/11.jpg"",""time"":553}]","[]"
"image-keyboard-response","9","34825","0.0-5.0-1.2","fertuck1","bdp_lott","Sun Feb 26 2023 12:59:13 GMT-0500 (Eastern Standard Time)","236126","green","red","","800","","","","","","","img/green_wl/choose11.jpg","1","223","green","0.6","0.6","0.6","w","",""
"animation","10","35430","0.0-5.0-2.2","fertuck1","bdp_lott","Sun Feb 26 2023 12:59:13 GMT-0500 (Eastern Standard Time)","236126","green","red","","","","","","","","","","","223","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":51},{""stimulus"":""img/green_wl/2.jpg"",""time"":103},{""stimulus"":""img/green_wl/3.jpg"",""time"":151},{""stimulus"":""img/green_wl/4.jpg"",""time"":204},{""stimulus"":""img/green_wl/5.jpg"",""time"":252},{""stimulus"":""img/green_wl/6.jpg"",""time"":301},{""stimulus"":""img/green_wl/7.jpg"",""time"":354},{""stimulus"":""img/green_wl/8.jpg"",""time"":401},{""stimulus"":""img/green_wl/9.jpg"",""time"":451},{""stimulus"":""img/green_wl/10.jpg"",""time"":503},{""stimulus"":""img/green_wl/11.jpg"",""time"":551}]","[]"
"image-keyboard-response","11","36048","0.0-5.0-1.3","fertuck1","bdp_lott","Sun Feb 26 2023 12:59:13 GMT-0500 (Eastern Standard Time)","236126","green","red","","617","","","","","","","img/green_wl/choose11.jpg","1","222","green","0.6","0.6","0.6","w","",""
"animation","12","36651","0.0-5.0-2.3","fertuck1","bdp_lott","Sun Feb 26 2023 12:59:13 GMT-0500 (Eastern Standard Time)","236126","green","red","","","","","","","","","","","222","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":54},{""stimulus"":""img/green_wl/2.jpg"",""time"":101},{""stimulus"":""img/green_wl/3.jpg"",""time"":150},{""stimulus"":""img/green_wl/4.jpg"",""time"":203},{""stimulus"":""img/green_wl/5.jpg"",""time"":251},{""stimulus"":""img/green_wl/6.jpg"",""time"":304},{""stimulus"":""img/green_wl/7.jpg"",""time"":352},{""stimulus"":""img/green_wl/8.jpg"",""time"":401},{""stimulus"":""img/green_wl/9.jpg"",""time"":453},{""stimulus"":""img/green_wl/10.jpg"",""time"":501},{""stimulus"":""img/green_wl/11.jpg"",""time"":550}]","[]"
"image-keyboard-response","13","37148","0.0-5.0-1.4","fertuck1","bdp_lott","Sun Feb 26 2023 12:59:13 GMT-0500 (Eastern Standard Time)","236126","green","red","","495","","","","","","","img/green_wl/choose11.jpg","1","221","green","0.6","0.6","0.6","l","",""
"animation","14","37750","0.0-5.0-2.4","fertuck1","bdp_lott","Sun Feb 26 2023 12:59:13 GMT-0500 (Eastern Standard Time)","236126","green","red","","","","","","","","","","","221","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":53},{""stimulus"":""img/green_ll/2.jpg"",""time"":102},{""stimulus"":""img/green_ll/3.jpg"",""time"":154},{""stimulus"":""img/green_ll/4.jpg"",""time"":202},{""stimulus"":""img/green_ll/5.jpg"",""time"":251},{""stimulus"":""img/green_ll/6.jpg"",""time"":303},{""stimulus"":""img/green_ll/7.jpg"",""time"":351},{""stimulus"":""img/green_ll/8.jpg"",""time"":405},{""stimulus"":""img/green_ll/9.jpg"",""time"":453},{""stimulus"":""img/green_ll/10.jpg"",""time"":502},{""stimulus"":""img/green_ll/11.jpg"",""time"":554}]","[]"
