"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"focus","0","0","focusevent","60ed200c728ab881912aac11","bdp_lott","Mon Mar 27 2023 00:03:08 GMT-0400 (Eastern Daylight Time)","397465","red","green","","","","","","","","","","","","","","","","",""
"","","","","60ed200c728ab881912aac11","bdp_lott","Mon Mar 27 2023 00:03:08 GMT-0400 (Eastern Daylight Time)","397465","red","green","pavlovia","0","14","0.0-0.0","","","","","","","","","","","","",""
"","","","","60ed200c728ab881912aac11","bdp_lott","Mon Mar 27 2023 00:03:08 GMT-0400 (Eastern Daylight Time)","397465","red","green","instructions","1","3750","0.0-1.0","[{""page_index"":0,""viewing_time"":3732}]","3732","","","","","","","","","","",""
"fullscreenexit","2","10320","fullscreenexit","60ed200c728ab881912aac11","bdp_lott","Mon Mar 27 2023 00:03:08 GMT-0400 (Eastern Daylight Time)","397465","red","green","","","","","","","","","","","","","","","","",""
"","","","","60ed200c728ab881912aac11","bdp_lott","Mon Mar 27 2023 00:03:08 GMT-0400 (Eastern Daylight Time)","397465","red","green","fullscreen","2","11013","0.0-2.0","","","true","","","","","","","","","",""
"","","","fullscreenfail","60ed200c728ab881912aac11","bdp_lott","Mon Mar 27 2023 00:03:08 GMT-0400 (Eastern Daylight Time)","397465","red","green","image-keyboard-response","3","14354","0.0-3.0-0.0","","3330","","","32","","","","","","","",""
"","","","","60ed200c728ab881912aac11","bdp_lott","Mon Mar 27 2023 00:03:08 GMT-0400 (Eastern Daylight Time)","397465","red","green","instructions","4","64357","0.0-4.0","[{""page_index"":0,""viewing_time"":49747}]","49748","","","","","","","","","","",""
"","","","choice","60ed200c728ab881912aac11","bdp_lott","Mon Mar 27 2023 00:03:08 GMT-0400 (Eastern Daylight Time)","397465","red","green","image-keyboard-response","5","69875","0.0-5.0-1.0","","5510","","img/red_ll/initchoose11.jpg","2","225","red","0.5","0.5","0.5","w","",""
"","","","","60ed200c728ab881912aac11","bdp_lott","Mon Mar 27 2023 00:03:08 GMT-0400 (Eastern Daylight Time)","397465","red","green","animation","6","70584","0.0-5.0-2.0","","","","","","225","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":57},{""stimulus"":""img/red_lw/2.jpg"",""time"":124},{""stimulus"":""img/red_lw/3.jpg"",""time"":192},{""stimulus"":""img/red_lw/4.jpg"",""time"":263},{""stimulus"":""img/red_lw/5.jpg"",""time"":323},{""stimulus"":""img/red_lw/6.jpg"",""time"":373},{""stimulus"":""img/red_lw/7.jpg"",""time"":441},{""stimulus"":""img/red_lw/8.jpg"",""time"":499},{""stimulus"":""img/red_lw/9.jpg"",""time"":550},{""stimulus"":""img/red_lw/10.jpg"",""time"":602},{""stimulus"":""img/red_lw/11.jpg"",""time"":655}]","[]"
"","","","choice","60ed200c728ab881912aac11","bdp_lott","Mon Mar 27 2023 00:03:08 GMT-0400 (Eastern Daylight Time)","397465","red","green","image-keyboard-response","7","74010","0.0-5.0-1.1","","3422","","img/red_lw/choose11.jpg","2","224","red","0.5","0.5","0.5","l","",""
"","","","","60ed200c728ab881912aac11","bdp_lott","Mon Mar 27 2023 00:03:08 GMT-0400 (Eastern Daylight Time)","397465","red","green","animation","8","74699","0.0-5.0-2.1","","","","","","224","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":58},{""stimulus"":""img/red_ll/2.jpg"",""time"":127},{""stimulus"":""img/red_ll/3.jpg"",""time"":177},{""stimulus"":""img/red_ll/4.jpg"",""time"":233},{""stimulus"":""img/red_ll/5.jpg"",""time"":284},{""stimulus"":""img/red_ll/6.jpg"",""time"":334},{""stimulus"":""img/red_ll/7.jpg"",""time"":388},{""stimulus"":""img/red_ll/8.jpg"",""time"":446},{""stimulus"":""img/red_ll/9.jpg"",""time"":497},{""stimulus"":""img/red_ll/10.jpg"",""time"":580},{""stimulus"":""img/red_ll/11.jpg"",""time"":631}]","[]"
