"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","numBlurs","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"focus","0","0","focusevent","6156a0460b95fa57be8312c4","bdp_lott","Wed Mar 29 2023 00:49:05 GMT-0700 (Pacific Daylight Time)","378684","red","green","","","","","","","","","","","","","","","","","",""
"","","","","6156a0460b95fa57be8312c4","bdp_lott","Wed Mar 29 2023 00:49:05 GMT-0700 (Pacific Daylight Time)","378684","red","green","pavlovia","0","7","0.0-0.0","","","","","","","","","","","","","",""
"","","","","6156a0460b95fa57be8312c4","bdp_lott","Wed Mar 29 2023 00:49:05 GMT-0700 (Pacific Daylight Time)","378684","red","green","instructions","1","4040","0.0-1.0","[{""page_index"":0,""viewing_time"":4032}]","4033","","","","","","","","","","","",""
"fullscreenexit","2","7770","fullscreenexit","6156a0460b95fa57be8312c4","bdp_lott","Wed Mar 29 2023 00:49:05 GMT-0700 (Pacific Daylight Time)","378684","red","green","","","","","","","","","","","","","","","","","",""
"","","","","6156a0460b95fa57be8312c4","bdp_lott","Wed Mar 29 2023 00:49:05 GMT-0700 (Pacific Daylight Time)","378684","red","green","fullscreen","2","8762","0.0-2.0","","","true","","","","","","","","","","",""
"","","","fullscreenfail","6156a0460b95fa57be8312c4","bdp_lott","Wed Mar 29 2023 00:49:05 GMT-0700 (Pacific Daylight Time)","378684","red","green","image-keyboard-response","3","11871","0.0-3.0-0.0","","3108","","","32","","","","","","","","",""
"fullscreenexit","4","19420","fullscreenexit","6156a0460b95fa57be8312c4","bdp_lott","Wed Mar 29 2023 00:49:05 GMT-0700 (Pacific Daylight Time)","378684","red","green","","","","","","","","","","","","","","","","","",""
"blur","4","21178","blurevent","6156a0460b95fa57be8312c4","bdp_lott","Wed Mar 29 2023 00:49:05 GMT-0700 (Pacific Daylight Time)","378684","red","green","","","","","","","","","","1","","","","","","","",""
"focus","4","44163","focusevent","6156a0460b95fa57be8312c4","bdp_lott","Wed Mar 29 2023 00:49:05 GMT-0700 (Pacific Daylight Time)","378684","red","green","","","","","","","","","","","","","","","","","",""
"","","","","6156a0460b95fa57be8312c4","bdp_lott","Wed Mar 29 2023 00:49:05 GMT-0700 (Pacific Daylight Time)","378684","red","green","instructions","4","74820","0.0-4.0","[{""page_index"":0,""viewing_time"":62697}]","62697","","","","","","","","","","","",""
