"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"focus","0","0","focusevent","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","1","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","","","","","","","","","","","","","","","","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","instructions","1","3119","0.0-1.0","[{""page_index"":0,""viewing_time"":3116}]","3116","","","","","","","","","","",""
"fullscreenenter","2","5218","fullscreenenter","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","","","","","","","","","","","","","","","","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","fullscreen","2","6218","0.0-2.0","","","true","","","","","","","","","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","instructions","3","47397","0.0-4.0","[{""page_index"":0,""viewing_time"":41175}]","41175","","","","","","","","","","",""
"","","","blurwarn","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","1","image-keyboard-response","4","57847","0.0-5.0-0.0-0.0","","10446","","","49","","","","","","","",""
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","5","61908","0.0-5.0-1.0","","3796","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","l","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","6","62512","0.0-5.0-2.0","","","","","","225","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":51},{""stimulus"":""img/green_ll/2.jpg"",""time"":104},{""stimulus"":""img/green_ll/3.jpg"",""time"":151},{""stimulus"":""img/green_ll/4.jpg"",""time"":201},{""stimulus"":""img/green_ll/5.jpg"",""time"":259},{""stimulus"":""img/green_ll/6.jpg"",""time"":306},{""stimulus"":""img/green_ll/7.jpg"",""time"":351},{""stimulus"":""img/green_ll/8.jpg"",""time"":414},{""stimulus"":""img/green_ll/9.jpg"",""time"":451},{""stimulus"":""img/green_ll/10.jpg"",""time"":507},{""stimulus"":""img/green_ll/11.jpg"",""time"":555}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","7","63375","0.0-5.0-1.1","","863","","img/green_ll/choose11.jpg","2","224","red","0.5","0.5","0.5","l","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","8","63983","0.0-5.0-2.1","","","","","","224","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":51},{""stimulus"":""img/red_ll/2.jpg"",""time"":100},{""stimulus"":""img/red_ll/3.jpg"",""time"":151},{""stimulus"":""img/red_ll/4.jpg"",""time"":205},{""stimulus"":""img/red_ll/5.jpg"",""time"":251},{""stimulus"":""img/red_ll/6.jpg"",""time"":314},{""stimulus"":""img/red_ll/7.jpg"",""time"":351},{""stimulus"":""img/red_ll/8.jpg"",""time"":406},{""stimulus"":""img/red_ll/9.jpg"",""time"":452},{""stimulus"":""img/red_ll/10.jpg"",""time"":513},{""stimulus"":""img/red_ll/11.jpg"",""time"":561}]","[]"
"","","","choice","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","image-keyboard-response","9","64905","0.0-5.0-1.2","","921","","img/red_ll/choose11.jpg","1","223","green","0.5","0.5","0.5","l","",""
"","","","","63ea79021f0c43def6174042","bdp_lott","Sat Mar 25 2023 18:54:14 GMT-0500 (Central Daylight Time)","250842","green","red","","animation","10","65512","0.0-5.0-2.2","","","","","","223","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":51},{""stimulus"":""img/green_ll/2.jpg"",""time"":101},{""stimulus"":""img/green_ll/3.jpg"",""time"":155},{""stimulus"":""img/green_ll/4.jpg"",""time"":203},{""stimulus"":""img/green_ll/5.jpg"",""time"":251},{""stimulus"":""img/green_ll/6.jpg"",""time"":310},{""stimulus"":""img/green_ll/7.jpg"",""time"":357},{""stimulus"":""img/green_ll/8.jpg"",""time"":401},{""stimulus"":""img/green_ll/9.jpg"",""time"":451},{""stimulus"":""img/green_ll/10.jpg"",""time"":512},{""stimulus"":""img/green_ll/11.jpg"",""time"":559}]","[]"
