"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"focus","0","0","focusevent","63f58712a2c1bd62fa7bb352","bdp_lott","Mon Apr 03 2023 18:15:13 GMT-0600 (Mountain Daylight Time)","286232","green","red","","","","","","","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_lott","Mon Apr 03 2023 18:15:13 GMT-0600 (Mountain Daylight Time)","286232","green","red","pavlovia","0","11","0.0-0.0","","","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_lott","Mon Apr 03 2023 18:15:13 GMT-0600 (Mountain Daylight Time)","286232","green","red","instructions","1","6312","0.0-1.0","[{""page_index"":0,""viewing_time"":6301}]","6301","","","","","","","","","","",""
"fullscreenexit","2","8939","fullscreenexit","63f58712a2c1bd62fa7bb352","bdp_lott","Mon Apr 03 2023 18:15:13 GMT-0600 (Mountain Daylight Time)","286232","green","red","","","","","","","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_lott","Mon Apr 03 2023 18:15:13 GMT-0600 (Mountain Daylight Time)","286232","green","red","fullscreen","2","9737","0.0-2.0","","","true","","","","","","","","","",""
"","","","fullscreenfail","63f58712a2c1bd62fa7bb352","bdp_lott","Mon Apr 03 2023 18:15:13 GMT-0600 (Mountain Daylight Time)","286232","green","red","image-keyboard-response","3","14137","0.0-3.0-0.0","","4399","","","32","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_lott","Mon Apr 03 2023 18:15:13 GMT-0600 (Mountain Daylight Time)","286232","green","red","instructions","4","48869","0.0-4.0","[{""page_index"":0,""viewing_time"":34480}]","34480","","","","","","","","","","",""
"","","","choice","63f58712a2c1bd62fa7bb352","bdp_lott","Mon Apr 03 2023 18:15:13 GMT-0600 (Mountain Daylight Time)","286232","green","red","image-keyboard-response","5","51620","0.0-5.0-1.0","","2750","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","w","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_lott","Mon Apr 03 2023 18:15:13 GMT-0600 (Mountain Daylight Time)","286232","green","red","animation","6","52225","0.0-5.0-2.0","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":51},{""stimulus"":""img/green_wl/2.jpg"",""time"":101},{""stimulus"":""img/green_wl/3.jpg"",""time"":152},{""stimulus"":""img/green_wl/4.jpg"",""time"":202},{""stimulus"":""img/green_wl/5.jpg"",""time"":254},{""stimulus"":""img/green_wl/6.jpg"",""time"":304},{""stimulus"":""img/green_wl/7.jpg"",""time"":353},{""stimulus"":""img/green_wl/8.jpg"",""time"":404},{""stimulus"":""img/green_wl/9.jpg"",""time"":454},{""stimulus"":""img/green_wl/10.jpg"",""time"":504},{""stimulus"":""img/green_wl/11.jpg"",""time"":555}]","[]"
"","","","choice","63f58712a2c1bd62fa7bb352","bdp_lott","Mon Apr 03 2023 18:15:13 GMT-0600 (Mountain Daylight Time)","286232","green","red","image-keyboard-response","7","55749","0.0-5.0-1.1","","3523","","img/green_wl/choose11.jpg","1","224","green","0.5","0.5","0.5","w","",""
