"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","11","0.0-0.0","63153455849b153d56dd81db","bdp_lott","Thu Mar 30 2023 15:18:29 GMT-0700 (Pacific Daylight Time)","956068","red","green","","","","","","","","","","","","","","","","","",""
"","","","","63153455849b153d56dd81db","bdp_lott","Thu Mar 30 2023 15:18:29 GMT-0700 (Pacific Daylight Time)","956068","red","green","blur","1","295115","blurevent","1","","","","","","","","","","","","",""
"","","","","63153455849b153d56dd81db","bdp_lott","Thu Mar 30 2023 15:18:29 GMT-0700 (Pacific Daylight Time)","956068","red","green","focus","1","320648","focusevent","","","","","","","","","","","","","",""
"instructions","1","691427","0.0-1.0","63153455849b153d56dd81db","bdp_lott","Thu Mar 30 2023 15:18:29 GMT-0700 (Pacific Daylight Time)","956068","red","green","","","","","","[{""page_index"":0,""viewing_time"":691416}]","691416","","","","","","","","","","",""
"","","","","63153455849b153d56dd81db","bdp_lott","Thu Mar 30 2023 15:18:29 GMT-0700 (Pacific Daylight Time)","956068","red","green","fullscreenenter","2","694225","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","695188","0.0-2.0","63153455849b153d56dd81db","bdp_lott","Thu Mar 30 2023 15:18:29 GMT-0700 (Pacific Daylight Time)","956068","red","green","","","","","","","","true","","","","","","","","","",""
"instructions","3","701977","0.0-4.0","63153455849b153d56dd81db","bdp_lott","Thu Mar 30 2023 15:18:29 GMT-0700 (Pacific Daylight Time)","956068","red","green","","","","","","[{""page_index"":0,""viewing_time"":6788}]","6788","","","","","","","","","","",""
"image-keyboard-response","4","728283","0.0-5.0-0.0-0.0","63153455849b153d56dd81db","bdp_lott","Thu Mar 30 2023 15:18:29 GMT-0700 (Pacific Daylight Time)","956068","red","green","","","","blurwarn","1","","26301","","","49","","","","","","","",""
"image-keyboard-response","5","733609","0.0-5.0-1.0","63153455849b153d56dd81db","bdp_lott","Thu Mar 30 2023 15:18:29 GMT-0700 (Pacific Daylight Time)","956068","red","green","","","","choice","","","5067","","img/red_ll/initchoose11.jpg","2","225","red","0.5","0.5","0.5","w","",""
"animation","6","734220","0.0-5.0-2.0","63153455849b153d56dd81db","bdp_lott","Thu Mar 30 2023 15:18:29 GMT-0700 (Pacific Daylight Time)","956068","red","green","","","","","","","","","","","225","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":65},{""stimulus"":""img/red_lw/2.jpg"",""time"":101},{""stimulus"":""img/red_lw/3.jpg"",""time"":161},{""stimulus"":""img/red_lw/4.jpg"",""time"":212},{""stimulus"":""img/red_lw/5.jpg"",""time"":251},{""stimulus"":""img/red_lw/6.jpg"",""time"":311},{""stimulus"":""img/red_lw/7.jpg"",""time"":360},{""stimulus"":""img/red_lw/8.jpg"",""time"":411},{""stimulus"":""img/red_lw/9.jpg"",""time"":461},{""stimulus"":""img/red_lw/10.jpg"",""time"":501},{""stimulus"":""img/red_lw/11.jpg"",""time"":560}]","[]"
