"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","7","0.0-0.0","63e5b3e89a3823139cb9d35e","bdp_lott","Mon Mar 27 2023 09:20:57 GMT-0600 (Central Standard Time)","461010","red","green","","","","","","","","","","","","","","","","","",""
"instructions","1","11120","0.0-1.0","63e5b3e89a3823139cb9d35e","bdp_lott","Mon Mar 27 2023 09:20:57 GMT-0600 (Central Standard Time)","461010","red","green","[{""page_index"":0,""viewing_time"":11112}]","11112","","","","","","","","","","","","","","","",""
"","","","","63e5b3e89a3823139cb9d35e","bdp_lott","Mon Mar 27 2023 09:20:57 GMT-0600 (Central Standard Time)","461010","red","green","","","fullscreenenter","2","16609","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","17595","0.0-2.0","63e5b3e89a3823139cb9d35e","bdp_lott","Mon Mar 27 2023 09:20:57 GMT-0600 (Central Standard Time)","461010","red","green","","","","","","","true","","","","","","","","","","",""
"","","","","63e5b3e89a3823139cb9d35e","bdp_lott","Mon Mar 27 2023 09:20:57 GMT-0600 (Central Standard Time)","461010","red","green","","","blur","3","58775","blurevent","","1","","","","","","","","","",""
"","","","","63e5b3e89a3823139cb9d35e","bdp_lott","Mon Mar 27 2023 09:20:57 GMT-0600 (Central Standard Time)","461010","red","green","","","focus","3","171320","focusevent","","","","","","","","","","","",""
"instructions","3","172064","0.0-4.0","63e5b3e89a3823139cb9d35e","bdp_lott","Mon Mar 27 2023 09:20:57 GMT-0600 (Central Standard Time)","461010","red","green","[{""page_index"":0,""viewing_time"":154468}]","154468","","","","","","","","","","","","","","","",""
"image-keyboard-response","4","182504","0.0-5.0-0.0-0.0","63e5b3e89a3823139cb9d35e","bdp_lott","Mon Mar 27 2023 09:20:57 GMT-0600 (Central Standard Time)","461010","red","green","","10437","","","","blurwarn","","1","","49","","","","","","","",""
"image-keyboard-response","5","184022","0.0-5.0-1.0","63e5b3e89a3823139cb9d35e","bdp_lott","Mon Mar 27 2023 09:20:57 GMT-0600 (Central Standard Time)","461010","red","green","","1266","","","","choice","","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","w","",""
"animation","6","184624","0.0-5.0-2.0","63e5b3e89a3823139cb9d35e","bdp_lott","Mon Mar 27 2023 09:20:57 GMT-0600 (Central Standard Time)","461010","red","green","","","","","","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":52},{""stimulus"":""img/green_wl/2.jpg"",""time"":102},{""stimulus"":""img/green_wl/3.jpg"",""time"":152},{""stimulus"":""img/green_wl/4.jpg"",""time"":202},{""stimulus"":""img/green_wl/5.jpg"",""time"":251},{""stimulus"":""img/green_wl/6.jpg"",""time"":302},{""stimulus"":""img/green_wl/7.jpg"",""time"":352},{""stimulus"":""img/green_wl/8.jpg"",""time"":401},{""stimulus"":""img/green_wl/9.jpg"",""time"":453},{""stimulus"":""img/green_wl/10.jpg"",""time"":502},{""stimulus"":""img/green_wl/11.jpg"",""time"":552}]","[]"
"image-keyboard-response","7","186263","0.0-5.0-1.1","63e5b3e89a3823139cb9d35e","bdp_lott","Mon Mar 27 2023 09:20:57 GMT-0600 (Central Standard Time)","461010","red","green","","1637","","","","choice","","","img/green_wl/choose11.jpg","2","224","red","0.5","0.5","0.5","l","",""
"animation","8","186864","0.0-5.0-2.1","63e5b3e89a3823139cb9d35e","bdp_lott","Mon Mar 27 2023 09:20:57 GMT-0600 (Central Standard Time)","461010","red","green","","","","","","","","","","","224","","","","","","[{""stimulus"":""img/red_wl/1.jpg"",""time"":52},{""stimulus"":""img/red_wl/2.jpg"",""time"":101},{""stimulus"":""img/red_wl/3.jpg"",""time"":151},{""stimulus"":""img/red_wl/4.jpg"",""time"":202},{""stimulus"":""img/red_wl/5.jpg"",""time"":252},{""stimulus"":""img/red_wl/6.jpg"",""time"":302},{""stimulus"":""img/red_wl/7.jpg"",""time"":351},{""stimulus"":""img/red_wl/8.jpg"",""time"":401},{""stimulus"":""img/red_wl/9.jpg"",""time"":451},{""stimulus"":""img/red_wl/10.jpg"",""time"":501},{""stimulus"":""img/red_wl/11.jpg"",""time"":551}]","[]"
"image-keyboard-response","9","187974","0.0-5.0-1.2","63e5b3e89a3823139cb9d35e","bdp_lott","Mon Mar 27 2023 09:20:57 GMT-0600 (Central Standard Time)","461010","red","green","","1109","","","","choice","","","img/red_wl/choose11.jpg","2","223","red","0.5","0.5","0.5","l","",""
"animation","10","188576","0.0-5.0-2.2","63e5b3e89a3823139cb9d35e","bdp_lott","Mon Mar 27 2023 09:20:57 GMT-0600 (Central Standard Time)","461010","red","green","","","","","","","","","","","223","","","","","","[{""stimulus"":""img/red_wl/1.jpg"",""time"":51},{""stimulus"":""img/red_wl/2.jpg"",""time"":100},{""stimulus"":""img/red_wl/3.jpg"",""time"":152},{""stimulus"":""img/red_wl/4.jpg"",""time"":201},{""stimulus"":""img/red_wl/5.jpg"",""time"":251},{""stimulus"":""img/red_wl/6.jpg"",""time"":302},{""stimulus"":""img/red_wl/7.jpg"",""time"":351},{""stimulus"":""img/red_wl/8.jpg"",""time"":401},{""stimulus"":""img/red_wl/9.jpg"",""time"":451},{""stimulus"":""img/red_wl/10.jpg"",""time"":501},{""stimulus"":""img/red_wl/11.jpg"",""time"":551}]","[]"
"image-keyboard-response","11","189071","0.0-5.0-1.3","63e5b3e89a3823139cb9d35e","bdp_lott","Mon Mar 27 2023 09:20:57 GMT-0600 (Central Standard Time)","461010","red","green","","493","","","","choice","","","img/red_wl/choose11.jpg","1","222","green","0.5","0.5","0.5","w","",""
"animation","12","189671","0.0-5.0-2.3","63e5b3e89a3823139cb9d35e","bdp_lott","Mon Mar 27 2023 09:20:57 GMT-0600 (Central Standard Time)","461010","red","green","","","","","","","","","","","222","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":52},{""stimulus"":""img/green_wl/2.jpg"",""time"":101},{""stimulus"":""img/green_wl/3.jpg"",""time"":151},{""stimulus"":""img/green_wl/4.jpg"",""time"":202},{""stimulus"":""img/green_wl/5.jpg"",""time"":251},{""stimulus"":""img/green_wl/6.jpg"",""time"":301},{""stimulus"":""img/green_wl/7.jpg"",""time"":351},{""stimulus"":""img/green_wl/8.jpg"",""time"":401},{""stimulus"":""img/green_wl/9.jpg"",""time"":451},{""stimulus"":""img/green_wl/10.jpg"",""time"":500},{""stimulus"":""img/green_wl/11.jpg"",""time"":551}]","[]"
"image-keyboard-response","13","190247","0.0-5.0-1.4","63e5b3e89a3823139cb9d35e","bdp_lott","Mon Mar 27 2023 09:20:57 GMT-0600 (Central Standard Time)","461010","red","green","","575","","","","choice","","","img/green_wl/choose11.jpg","1","221","green","0.5","0.5","0.5","l","",""
