"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","2","0.0-0.0","63e1f5009f56fcb831963f19","bdp_lott","Sat Mar 25 2023 14:27:16 GMT-0700 (Pacific Daylight Time)","282164","green","red","","","","","","","","","","","","","","","","",""
"","","","","63e1f5009f56fcb831963f19","bdp_lott","Sat Mar 25 2023 14:27:16 GMT-0700 (Pacific Daylight Time)","282164","green","red","focus","1","6201","focusevent","","","","","","","","","","","","",""
"instructions","1","6772","0.0-1.0","63e1f5009f56fcb831963f19","bdp_lott","Sat Mar 25 2023 14:27:16 GMT-0700 (Pacific Daylight Time)","282164","green","red","","","","","[{""page_index"":0,""viewing_time"":6770}]","6770","","","","","","","","","","",""
"","","","","63e1f5009f56fcb831963f19","bdp_lott","Sat Mar 25 2023 14:27:16 GMT-0700 (Pacific Daylight Time)","282164","green","red","fullscreenenter","2","8080","fullscreenenter","","","","","","","","","","","","",""
"fullscreen","2","9075","0.0-2.0","63e1f5009f56fcb831963f19","bdp_lott","Sat Mar 25 2023 14:27:16 GMT-0700 (Pacific Daylight Time)","282164","green","red","","","","","","","true","","","","","","","","","",""
"instructions","3","42682","0.0-4.0","63e1f5009f56fcb831963f19","bdp_lott","Sat Mar 25 2023 14:27:16 GMT-0700 (Pacific Daylight Time)","282164","green","red","","","","","[{""page_index"":0,""viewing_time"":33606}]","33606","","","","","","","","","","",""
"image-keyboard-response","4","44154","0.0-5.0-1.0","63e1f5009f56fcb831963f19","bdp_lott","Sat Mar 25 2023 14:27:16 GMT-0700 (Pacific Daylight Time)","282164","green","red","","","","choice","","1470","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","l","",""
"animation","5","44755","0.0-5.0-2.0","63e1f5009f56fcb831963f19","bdp_lott","Sat Mar 25 2023 14:27:16 GMT-0700 (Pacific Daylight Time)","282164","green","red","","","","","","","","","","225","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":50},{""stimulus"":""img/green_ll/2.jpg"",""time"":101},{""stimulus"":""img/green_ll/3.jpg"",""time"":151},{""stimulus"":""img/green_ll/4.jpg"",""time"":201},{""stimulus"":""img/green_ll/5.jpg"",""time"":251},{""stimulus"":""img/green_ll/6.jpg"",""time"":300},{""stimulus"":""img/green_ll/7.jpg"",""time"":350},{""stimulus"":""img/green_ll/8.jpg"",""time"":401},{""stimulus"":""img/green_ll/9.jpg"",""time"":451},{""stimulus"":""img/green_ll/10.jpg"",""time"":501},{""stimulus"":""img/green_ll/11.jpg"",""time"":551}]","[]"
"image-keyboard-response","6","45536","0.0-5.0-1.1","63e1f5009f56fcb831963f19","bdp_lott","Sat Mar 25 2023 14:27:16 GMT-0700 (Pacific Daylight Time)","282164","green","red","","","","choice","","781","","img/green_ll/choose11.jpg","2","224","red","0.5","0.5","0.5","w","",""
"animation","7","46138","0.0-5.0-2.1","63e1f5009f56fcb831963f19","bdp_lott","Sat Mar 25 2023 14:27:16 GMT-0700 (Pacific Daylight Time)","282164","green","red","","","","","","","","","","224","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":50},{""stimulus"":""img/red_lw/2.jpg"",""time"":101},{""stimulus"":""img/red_lw/3.jpg"",""time"":151},{""stimulus"":""img/red_lw/4.jpg"",""time"":201},{""stimulus"":""img/red_lw/5.jpg"",""time"":250},{""stimulus"":""img/red_lw/6.jpg"",""time"":301},{""stimulus"":""img/red_lw/7.jpg"",""time"":363},{""stimulus"":""img/red_lw/8.jpg"",""time"":401},{""stimulus"":""img/red_lw/9.jpg"",""time"":451},{""stimulus"":""img/red_lw/10.jpg"",""time"":500},{""stimulus"":""img/red_lw/11.jpg"",""time"":551}]","[]"
