"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"focus","0","0","focusevent","6276b88b3b4036b3f0ca289b","bdp_lott","Tue Mar 28 2023 17:50:05 GMT-0700 (Pacific Daylight Time)","414908","green","red","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","6276b88b3b4036b3f0ca289b","bdp_lott","Tue Mar 28 2023 17:50:05 GMT-0700 (Pacific Daylight Time)","414908","green","red","","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","6276b88b3b4036b3f0ca289b","bdp_lott","Tue Mar 28 2023 17:50:05 GMT-0700 (Pacific Daylight Time)","414908","green","red","1","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","6276b88b3b4036b3f0ca289b","bdp_lott","Tue Mar 28 2023 17:50:05 GMT-0700 (Pacific Daylight Time)","414908","green","red","","","","","","","","","","","","","","","","","",""
"","","","","6276b88b3b4036b3f0ca289b","bdp_lott","Tue Mar 28 2023 17:50:05 GMT-0700 (Pacific Daylight Time)","414908","green","red","","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","",""
"","","","","6276b88b3b4036b3f0ca289b","bdp_lott","Tue Mar 28 2023 17:50:05 GMT-0700 (Pacific Daylight Time)","414908","green","red","","instructions","1","10481","0.0-1.0","[{""page_index"":0,""viewing_time"":10477}]","10477","","","","","","","","","","",""
"fullscreenenter","2","14273","fullscreenenter","6276b88b3b4036b3f0ca289b","bdp_lott","Tue Mar 28 2023 17:50:05 GMT-0700 (Pacific Daylight Time)","414908","green","red","","","","","","","","","","","","","","","","","",""
"","","","","6276b88b3b4036b3f0ca289b","bdp_lott","Tue Mar 28 2023 17:50:05 GMT-0700 (Pacific Daylight Time)","414908","green","red","","fullscreen","2","15255","0.0-2.0","","","true","","","","","","","","","",""
"","","","","6276b88b3b4036b3f0ca289b","bdp_lott","Tue Mar 28 2023 17:50:05 GMT-0700 (Pacific Daylight Time)","414908","green","red","","instructions","3","71127","0.0-4.0","[{""page_index"":0,""viewing_time"":55871}]","55872","","","","","","","","","","",""
"","","","blurwarn","6276b88b3b4036b3f0ca289b","bdp_lott","Tue Mar 28 2023 17:50:05 GMT-0700 (Pacific Daylight Time)","414908","green","red","1","image-keyboard-response","4","86448","0.0-5.0-0.0-0.0","","15320","","","49","","","","","","","",""
"","","","choice","6276b88b3b4036b3f0ca289b","bdp_lott","Tue Mar 28 2023 17:50:05 GMT-0700 (Pacific Daylight Time)","414908","green","red","","image-keyboard-response","5","92085","0.0-5.0-1.0","","5376","","img/red_ll/initchoose11.jpg","2","225","red","0.5","0.5","0.5","w","",""
"","","","","6276b88b3b4036b3f0ca289b","bdp_lott","Tue Mar 28 2023 17:50:05 GMT-0700 (Pacific Daylight Time)","414908","green","red","","animation","6","92698","0.0-5.0-2.0","","","","","","225","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":59},{""stimulus"":""img/red_lw/2.jpg"",""time"":112},{""stimulus"":""img/red_lw/3.jpg"",""time"":162},{""stimulus"":""img/red_lw/4.jpg"",""time"":203},{""stimulus"":""img/red_lw/5.jpg"",""time"":253},{""stimulus"":""img/red_lw/6.jpg"",""time"":307},{""stimulus"":""img/red_lw/7.jpg"",""time"":357},{""stimulus"":""img/red_lw/8.jpg"",""time"":413},{""stimulus"":""img/red_lw/9.jpg"",""time"":453},{""stimulus"":""img/red_lw/10.jpg"",""time"":503},{""stimulus"":""img/red_lw/11.jpg"",""time"":559}]","[]"
"","","","choice","6276b88b3b4036b3f0ca289b","bdp_lott","Tue Mar 28 2023 17:50:05 GMT-0700 (Pacific Daylight Time)","414908","green","red","","image-keyboard-response","7","96113","0.0-5.0-1.1","","3414","","img/red_lw/choose11.jpg","1","224","green","0.5","0.5","0.5","w","",""
