"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"focus","0","0","focusevent","lempert4","bdp_lott","Fri Feb 24 2023 09:59:02 GMT-0500 (Eastern Standard Time)","416168","green","red","","","","","","","","","","","","","","","","",""
"","","","","lempert4","bdp_lott","Fri Feb 24 2023 09:59:02 GMT-0500 (Eastern Standard Time)","416168","green","red","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","",""
"","","","","lempert4","bdp_lott","Fri Feb 24 2023 09:59:02 GMT-0500 (Eastern Standard Time)","416168","green","red","instructions","1","50010","0.0-1.0","[{""page_index"":0,""viewing_time"":50008}]","50008","","","","","","","","","","",""
"fullscreenexit","2","52473","fullscreenexit","lempert4","bdp_lott","Fri Feb 24 2023 09:59:02 GMT-0500 (Eastern Standard Time)","416168","green","red","","","","","","","","","","","","","","","","",""
"","","","","lempert4","bdp_lott","Fri Feb 24 2023 09:59:02 GMT-0500 (Eastern Standard Time)","416168","green","red","fullscreen","2","53456","0.0-2.0","","","true","","","","","","","","","",""
"","","","fullscreenfail","lempert4","bdp_lott","Fri Feb 24 2023 09:59:02 GMT-0500 (Eastern Standard Time)","416168","green","red","image-keyboard-response","3","55011","0.0-3.0-0.0","","1553","","","32","","","","","","","",""
"","","","","lempert4","bdp_lott","Fri Feb 24 2023 09:59:02 GMT-0500 (Eastern Standard Time)","416168","green","red","instructions","4","118851","0.0-4.0","[{""page_index"":0,""viewing_time"":63586}]","63586","","","","","","","","","","",""
"","","","","lempert4","bdp_lott","Fri Feb 24 2023 09:59:02 GMT-0500 (Eastern Standard Time)","416168","green","red","image-keyboard-response","5","122043","0.0-5.0-1.0","","3189","","img/red_ll/initchoose11.jpg","1","225","green","0.6","0.6","0.6","l","",""
"","","","","lempert4","bdp_lott","Fri Feb 24 2023 09:59:02 GMT-0500 (Eastern Standard Time)","416168","green","red","animation","6","122676","0.0-5.0-2.0","","","","","","225","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":51},{""stimulus"":""img/green_ll/2.jpg"",""time"":104},{""stimulus"":""img/green_ll/3.jpg"",""time"":158},{""stimulus"":""img/green_ll/4.jpg"",""time"":209},{""stimulus"":""img/green_ll/5.jpg"",""time"":259},{""stimulus"":""img/green_ll/6.jpg"",""time"":312},{""stimulus"":""img/green_ll/7.jpg"",""time"":366},{""stimulus"":""img/green_ll/8.jpg"",""time"":420},{""stimulus"":""img/green_ll/9.jpg"",""time"":472},{""stimulus"":""img/green_ll/10.jpg"",""time"":526},{""stimulus"":""img/green_ll/11.jpg"",""time"":579}]","[]"
"","","","","lempert4","bdp_lott","Fri Feb 24 2023 09:59:02 GMT-0500 (Eastern Standard Time)","416168","green","red","image-keyboard-response","7","126415","0.0-5.0-1.1","","3738","","img/green_ll/choose11.jpg","2","224","red","0.6","0.6","0.6","l","",""
"","","","","lempert4","bdp_lott","Fri Feb 24 2023 09:59:02 GMT-0500 (Eastern Standard Time)","416168","green","red","animation","8","127049","0.0-5.0-2.1","","","","","","224","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":52},{""stimulus"":""img/red_ll/2.jpg"",""time"":101},{""stimulus"":""img/red_ll/3.jpg"",""time"":153},{""stimulus"":""img/red_ll/4.jpg"",""time"":206},{""stimulus"":""img/red_ll/5.jpg"",""time"":259},{""stimulus"":""img/red_ll/6.jpg"",""time"":314},{""stimulus"":""img/red_ll/7.jpg"",""time"":367},{""stimulus"":""img/red_ll/8.jpg"",""time"":419},{""stimulus"":""img/red_ll/9.jpg"",""time"":473},{""stimulus"":""img/red_ll/10.jpg"",""time"":526},{""stimulus"":""img/red_ll/11.jpg"",""time"":580}]","[]"
"","","","","lempert4","bdp_lott","Fri Feb 24 2023 09:59:02 GMT-0500 (Eastern Standard Time)","416168","green","red","image-keyboard-response","9","130325","0.0-5.0-1.2","","3275","","img/red_ll/choose11.jpg","1","223","green","0.6","0.6","0.6","w","",""
"","","","","lempert4","bdp_lott","Fri Feb 24 2023 09:59:02 GMT-0500 (Eastern Standard Time)","416168","green","red","animation","10","130953","0.0-5.0-2.2","","","","","","223","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":53},{""stimulus"":""img/green_wl/2.jpg"",""time"":107},{""stimulus"":""img/green_wl/3.jpg"",""time"":162},{""stimulus"":""img/green_wl/4.jpg"",""time"":213},{""stimulus"":""img/green_wl/5.jpg"",""time"":264},{""stimulus"":""img/green_wl/6.jpg"",""time"":317},{""stimulus"":""img/green_wl/7.jpg"",""time"":368},{""stimulus"":""img/green_wl/8.jpg"",""time"":419},{""stimulus"":""img/green_wl/9.jpg"",""time"":469},{""stimulus"":""img/green_wl/10.jpg"",""time"":520},{""stimulus"":""img/green_wl/11.jpg"",""time"":573}]","[]"
"","","","","lempert4","bdp_lott","Fri Feb 24 2023 09:59:02 GMT-0500 (Eastern Standard Time)","416168","green","red","image-keyboard-response","11","133957","0.0-5.0-1.3","","3003","","img/green_wl/choose11.jpg","2","222","red","0.6","0.6","0.6","w","",""
"","","","","lempert4","bdp_lott","Fri Feb 24 2023 09:59:02 GMT-0500 (Eastern Standard Time)","416168","green","red","animation","12","134590","0.0-5.0-2.3","","","","","","222","","","","","","[{""stimulus"":""img/red_ww/1.jpg"",""time"":52},{""stimulus"":""img/red_ww/2.jpg"",""time"":102},{""stimulus"":""img/red_ww/3.jpg"",""time"":155},{""stimulus"":""img/red_ww/4.jpg"",""time"":206},{""stimulus"":""img/red_ww/5.jpg"",""time"":261},{""stimulus"":""img/red_ww/6.jpg"",""time"":313},{""stimulus"":""img/red_ww/7.jpg"",""time"":368},{""stimulus"":""img/red_ww/8.jpg"",""time"":422},{""stimulus"":""img/red_ww/9.jpg"",""time"":477},{""stimulus"":""img/red_ww/10.jpg"",""time"":529},{""stimulus"":""img/red_ww/11.jpg"",""time"":579}]","[]"
"","","","","lempert4","bdp_lott","Fri Feb 24 2023 09:59:02 GMT-0500 (Eastern Standard Time)","416168","green","red","image-keyboard-response","13","137541","0.0-5.0-1.4","","2950","","img/red_ww/choose11.jpg","1","221","green","0.6","0.6","0.6","l","",""
