"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","7","0.0-0.0","63ea5b93d1c6d38e1f57dcfa","bdp_rwlrn","Sat Apr 08 2023 12:04:00 GMT-0400 (Eastern Daylight Time)","405089","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","5476","0.0-1.0","63ea5b93d1c6d38e1f57dcfa","bdp_rwlrn","Sat Apr 08 2023 12:04:00 GMT-0400 (Eastern Daylight Time)","405089","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":5469}]","5469","","","","","","","","","","","","","","","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_rwlrn","Sat Apr 08 2023 12:04:00 GMT-0400 (Eastern Daylight Time)","405089","Trustworthy,Untrustworthy","","","blur","2","13424","blurevent","1","","","","","","","","","","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_rwlrn","Sat Apr 08 2023 12:04:00 GMT-0400 (Eastern Daylight Time)","405089","Trustworthy,Untrustworthy","","","focus","2","15803","focusevent","","","","","","","","","","","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_rwlrn","Sat Apr 08 2023 12:04:00 GMT-0400 (Eastern Daylight Time)","405089","Trustworthy,Untrustworthy","","","fullscreenexit","2","16815","fullscreenexit","","","","","","","","","","","","","","",""
"fullscreen","2","17606","0.0-2.0","63ea5b93d1c6d38e1f57dcfa","bdp_rwlrn","Sat Apr 08 2023 12:04:00 GMT-0400 (Eastern Daylight Time)","405089","Trustworthy,Untrustworthy","","","","","","","","true","","","","","","","","","","","","",""
"image-keyboard-response","3","26216","0.0-3.0-0.0","63ea5b93d1c6d38e1f57dcfa","bdp_rwlrn","Sat Apr 08 2023 12:04:00 GMT-0400 (Eastern Daylight Time)","405089","Trustworthy,Untrustworthy","","8608","","","","fullscreenfail","","","","32","","","","","","","","","","",""
"instructions","4","97152","0.0-4.0","63ea5b93d1c6d38e1f57dcfa","bdp_rwlrn","Sat Apr 08 2023 12:04:00 GMT-0400 (Eastern Daylight Time)","405089","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":13663},{""page_index"":1,""viewing_time"":15167},{""page_index"":2,""viewing_time"":11187},{""page_index"":3,""viewing_time"":9223},{""page_index"":4,""viewing_time"":17988},{""page_index"":5,""viewing_time"":3451}]","70679","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","104853","0.0-5.0","63ea5b93d1c6d38e1f57dcfa","bdp_rwlrn","Sat Apr 08 2023 12:04:00 GMT-0400 (Eastern Daylight Time)","405089","Trustworthy,Untrustworthy","","7701","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"html-keyboard-response","6","106504","0.0-6.0","63ea5b93d1c6d38e1f57dcfa","bdp_rwlrn","Sat Apr 08 2023 12:04:00 GMT-0400 (Eastern Daylight Time)","405089","Trustworthy,Untrustworthy","","1547","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","7","113163","0.0-7.0","63ea5b93d1c6d38e1f57dcfa","bdp_rwlrn","Sat Apr 08 2023 12:04:00 GMT-0400 (Eastern Daylight Time)","405089","Trustworthy,Untrustworthy","","6549","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","C","","","","","","","","","","",""
"html-keyboard-response","8","115901","0.0-8.0","63ea5b93d1c6d38e1f57dcfa","bdp_rwlrn","Sat Apr 08 2023 12:04:00 GMT-0400 (Eastern Daylight Time)","405089","Trustworthy,Untrustworthy","","2630","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p style='color:#FF0000'>c) Quadruple what you bet</p><h3 style='color:#FF0000'>Incorrect!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","9","121018","0.0-9.0","63ea5b93d1c6d38e1f57dcfa","bdp_rwlrn","Sat Apr 08 2023 12:04:00 GMT-0400 (Eastern Daylight Time)","405089","Trustworthy,Untrustworthy","","null","","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/pears.png'><br><strong>Pears Aplenty</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/orange.png'><br><strong>Odds are Orange</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/papayas.png'><br><strong>Papaya Payday</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","",""
"instructions","10","125896","0.0-10.0","63ea5b93d1c6d38e1f57dcfa","bdp_rwlrn","Sat Apr 08 2023 12:04:00 GMT-0400 (Eastern Daylight Time)","405089","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":2745},{""page_index"":1,""viewing_time"":2133}]","4878","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","126752","0.0-11.0-1.0","63ea5b93d1c6d38e1f57dcfa","bdp_rwlrn","Sat Apr 08 2023 12:04:00 GMT-0400 (Eastern Daylight Time)","405089","Trustworthy,Untrustworthy","","741","","","","decision","","","<div class='trialDiv'><img src='Fruit/papayas.png'><br><font class='baseline'><strong>Papaya Payday</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","1","1","Papaya Payday","Fruit/papayas.png","Lost","0.2,0.8","8","0.2","5","1","",""
"html-keyboard-response","12","127005","0.0-11.0-2.0","63ea5b93d1c6d38e1f57dcfa","bdp_rwlrn","Sat Apr 08 2023 12:04:00 GMT-0400 (Eastern Daylight Time)","405089","Trustworthy,Untrustworthy","","null","","","","decisionFB","","","<div class='trialDiv'><img src='Fruit/papayas.png'><br><font class='baseline'><strong>Papaya Payday</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L1.png' class='respPic'></div></div>","null","1","Papaya Payday","Fruit/papayas.png","Lost","0.2,0.8","8","0.2","4","1","",""
"html-keyboard-response","13","128007","0.0-11.0-3.0","63ea5b93d1c6d38e1f57dcfa","bdp_rwlrn","Sat Apr 08 2023 12:04:00 GMT-0400 (Eastern Daylight Time)","405089","Trustworthy,Untrustworthy","","null","","","","feedback","","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/papayas.png'><br><font class='baseline'><strong>Papaya Payday</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 1</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","1","Papaya Payday","Fruit/papayas.png","Lost","0.2,0.8","8","0.2","4","1","",""
