"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"focus","0","0","focusevent","63d13bce0971871b9ff88f56","bdp_sd","Sun Mar 26 2023 10:36:22 GMT-0400 (Eastern Daylight Time)","123212","","","","","","","","","","","","","","","","",""
"","","","","63d13bce0971871b9ff88f56","bdp_sd","Sun Mar 26 2023 10:36:22 GMT-0400 (Eastern Daylight Time)","123212","pavlovia","0","7","0.0-0.0","","","","","","","","","","","","",""
"","","","","63d13bce0971871b9ff88f56","bdp_sd","Sun Mar 26 2023 10:36:22 GMT-0400 (Eastern Daylight Time)","123212","instructions","1","928","0.0-1.0","[{""page_index"":0,""viewing_time"":920}]","920","","","","","","","","","","",""
"","","","","63d13bce0971871b9ff88f56","bdp_sd","Sun Mar 26 2023 10:36:22 GMT-0400 (Eastern Daylight Time)","123212","survey-text","2","41207","0.0-2.0","","40278","{""Q0"":""Kevin "",""Q1"":""Jane"",""Q2"":""Steve"",""Q3"":""Mark"",""Q4"":""Teri""}","","","","","","","","","",""
"fullscreenexit","3","42597","fullscreenexit","63d13bce0971871b9ff88f56","bdp_sd","Sun Mar 26 2023 10:36:22 GMT-0400 (Eastern Daylight Time)","123212","","","","","","","","","","","","","","","","",""
"","","","","63d13bce0971871b9ff88f56","bdp_sd","Sun Mar 26 2023 10:36:22 GMT-0400 (Eastern Daylight Time)","123212","fullscreen","3","43397","0.0-3.0","","","","true","","","","","","","","",""
"","","","fullscreenfail","63d13bce0971871b9ff88f56","bdp_sd","Sun Mar 26 2023 10:36:22 GMT-0400 (Eastern Daylight Time)","123212","image-keyboard-response","4","44312","0.0-4.0-0.0","","912","","","","32","","","","","","",""
"","","","","63d13bce0971871b9ff88f56","bdp_sd","Sun Mar 26 2023 10:36:22 GMT-0400 (Eastern Daylight Time)","123212","instructions","5","59234","0.0-5.0","[{""page_index"":0,""viewing_time"":2962},{""page_index"":1,""viewing_time"":7264},{""page_index"":2,""viewing_time"":4440}]","14666","","","","","","","","","","",""
"","","","FIX","63d13bce0971871b9ff88f56","bdp_sd","Sun Mar 26 2023 10:36:22 GMT-0400 (Eastern Daylight Time)","123212","html-keyboard-response","6","59742","0.0-6.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d13bce0971871b9ff88f56","bdp_sd","Sun Mar 26 2023 10:36:22 GMT-0400 (Eastern Daylight Time)","123212","html-keyboard-response","7","61707","0.0-6.0-2.0","","1961","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$78<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Teri</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$78<br>for<br>yourself","$80<br>for<br>5","0","78","80","5","SELF"
"","","","offerFB","63d13bce0971871b9ff88f56","bdp_sd","Sun Mar 26 2023 10:36:22 GMT-0400 (Eastern Daylight Time)","123212","html-keyboard-response","8","61966","0.0-6.0-3.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$78<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Teri</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$78<br>for<br>yourself","$80<br>for<br>5","0","78","80","5",""
"","","","FIX","63d13bce0971871b9ff88f56","bdp_sd","Sun Mar 26 2023 10:36:22 GMT-0400 (Eastern Daylight Time)","123212","html-keyboard-response","9","62482","0.0-6.0-1.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d13bce0971871b9ff88f56","bdp_sd","Sun Mar 26 2023 10:36:22 GMT-0400 (Eastern Daylight Time)","123212","html-keyboard-response","10","64202","0.0-6.0-2.1","","1719","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Jane</div></div><div class='cr'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$15<br>for<br>yourself","$35<br>for<br>2","1","15","35","2","OTHER"
"","","","offerFB","63d13bce0971871b9ff88f56","bdp_sd","Sun Mar 26 2023 10:36:22 GMT-0400 (Eastern Daylight Time)","123212","html-keyboard-response","11","64471","0.0-6.0-3.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>Jane</font></div></div><div class='cr'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$15<br>for<br>yourself","$35<br>for<br>2","1","15","35","2",""
"","","","FIX","63d13bce0971871b9ff88f56","bdp_sd","Sun Mar 26 2023 10:36:22 GMT-0400 (Eastern Daylight Time)","123212","html-keyboard-response","12","64987","0.0-6.0-1.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
