"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"focus","0","0","focusevent","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","","","","","","","","","","","","","","","","","",""
"","","","","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","","",""
"blur","1","165","blurevent","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","","","","","1","","","","","","","","","","","","",""
"focus","1","1315","focusevent","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","","","","","","","","","","","","","","","","","",""
"","","","","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","instructions","1","2851","0.0-1.0","","[{""page_index"":0,""viewing_time"":2848}]","2848","","","","","","","","","","",""
"","","","","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","survey-text","2","139316","0.0-2.0","","","136463","{""Q0"":""F S"",""Q1"":""J Z"",""Q2"":""S F"",""Q3"":""C G"",""Q4"":""S M""}","","","","","","","","","",""
"fullscreenexit","3","141962","fullscreenexit","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","","","","","","","","","","","","","","","","","",""
"","","","","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","fullscreen","3","142512","0.0-3.0","","","","","true","","","","","","","","",""
"","","","fullscreenfail","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","image-keyboard-response","4","144211","0.0-4.0-0.0","","","1693","","","","32","","","","","","",""
"","","","","5f721a81ee2a860fe028a8a4","bdp_sd","Sun Apr 09 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","335442","instructions","5","201939","0.0-5.0","","[{""page_index"":0,""viewing_time"":24294},{""page_index"":1,""viewing_time"":23119},{""page_index"":2,""viewing_time"":10064}]","57477","","","","","","","","","","",""
