"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen","numBlurs"
"pavlovia","0","3","0.0-0.0","62ded68be9e12bf448a7ffdb","bdp_sd","Sat Mar 25 2023 19:36:24 GMT-0700 (Pacific Daylight Time)","364887","","","","","","","","","","","","","","","","","",""
"instructions","1","10554","0.0-1.0","62ded68be9e12bf448a7ffdb","bdp_sd","Sat Mar 25 2023 19:36:24 GMT-0700 (Pacific Daylight Time)","364887","[{""page_index"":0,""viewing_time"":10549}]","10550","","","","","","","","","","","","","","","",""
"survey-text","2","262373","0.0-2.0","62ded68be9e12bf448a7ffdb","bdp_sd","Sat Mar 25 2023 19:36:24 GMT-0700 (Pacific Daylight Time)","364887","","251815","{""Q0"":""Ashu S"",""Q1"":""Harsi S"",""Q2"":""Gurasis S"",""Q3"":""Vaibhav S"",""Q4"":""Jake P""}","","","","","","","","","","","","","","",""
"","","","","62ded68be9e12bf448a7ffdb","bdp_sd","Sat Mar 25 2023 19:36:24 GMT-0700 (Pacific Daylight Time)","364887","","","","fullscreenenter","3","264893","fullscreenenter","","","","","","","","","","",""
"fullscreen","3","265869","0.0-3.0","62ded68be9e12bf448a7ffdb","bdp_sd","Sat Mar 25 2023 19:36:24 GMT-0700 (Pacific Daylight Time)","364887","","","","","","","","true","","","","","","","","","",""
"instructions","4","286419","0.0-5.0","62ded68be9e12bf448a7ffdb","bdp_sd","Sat Mar 25 2023 19:36:24 GMT-0700 (Pacific Daylight Time)","364887","[{""page_index"":0,""viewing_time"":5325},{""page_index"":1,""viewing_time"":8303},{""page_index"":2,""viewing_time"":6918}]","20547","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","286922","0.0-6.0-1.0","62ded68be9e12bf448a7ffdb","bdp_sd","Sat Mar 25 2023 19:36:24 GMT-0700 (Pacific Daylight Time)","364887","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","6","289599","0.0-6.0-2.0","62ded68be9e12bf448a7ffdb","bdp_sd","Sat Mar 25 2023 19:36:24 GMT-0700 (Pacific Daylight Time)","364887","","2673","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>for<br>Ashu S</div></div><div class='cr'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$31<br>for<br>yourself","$85<br>for<br>1","1","31","85","1","OTHER",""
"html-keyboard-response","7","289853","0.0-6.0-3.0","62ded68be9e12bf448a7ffdb","bdp_sd","Sat Mar 25 2023 19:36:24 GMT-0700 (Pacific Daylight Time)","364887","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$85<br>for<br>Ashu S</font></div></div><div class='cr'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$31<br>for<br>yourself","$85<br>for<br>1","1","31","85","1","",""
"html-keyboard-response","8","290357","0.0-6.0-1.1","62ded68be9e12bf448a7ffdb","bdp_sd","Sat Mar 25 2023 19:36:24 GMT-0700 (Pacific Daylight Time)","364887","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","9","292096","0.0-6.0-2.1","62ded68be9e12bf448a7ffdb","bdp_sd","Sat Mar 25 2023 19:36:24 GMT-0700 (Pacific Daylight Time)","364887","","1738","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>Jake P</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$34<br>for<br>yourself","$35<br>for<br>5","0","34","35","5","SELF",""
"html-keyboard-response","10","292349","0.0-6.0-3.1","62ded68be9e12bf448a7ffdb","bdp_sd","Sat Mar 25 2023 19:36:24 GMT-0700 (Pacific Daylight Time)","364887","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$34<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>Jake P</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$34<br>for<br>yourself","$35<br>for<br>5","0","34","35","5","",""
"html-keyboard-response","11","292852","0.0-6.0-1.2","62ded68be9e12bf448a7ffdb","bdp_sd","Sat Mar 25 2023 19:36:24 GMT-0700 (Pacific Daylight Time)","364887","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","12","295295","0.0-6.0-2.2","62ded68be9e12bf448a7ffdb","bdp_sd","Sat Mar 25 2023 19:36:24 GMT-0700 (Pacific Daylight Time)","364887","","2440","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>Jake P</div></div><div class='cr'><div class='vertical-center'>$47<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$47<br>for<br>yourself","$50<br>for<br>5","1","47","50","5","SELF",""
