"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"focus","0","0","focusevent","6092dea4efd6d61350f0fdbf","bdp_sd","Sun Mar 26 2023 09:16:40 GMT-0500 (Central Daylight Time)","198460","","","","","","","","","","","","","","","","",""
"","","","","6092dea4efd6d61350f0fdbf","bdp_sd","Sun Mar 26 2023 09:16:40 GMT-0500 (Central Daylight Time)","198460","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","",""
"","","","","6092dea4efd6d61350f0fdbf","bdp_sd","Sun Mar 26 2023 09:16:40 GMT-0500 (Central Daylight Time)","198460","instructions","1","789","0.0-1.0","[{""page_index"":0,""viewing_time"":785}]","786","","","","","","","","","","",""
"","","","","6092dea4efd6d61350f0fdbf","bdp_sd","Sun Mar 26 2023 09:16:40 GMT-0500 (Central Daylight Time)","198460","survey-text","2","105895","0.0-2.0","","105103","{""Q0"":""AA"",""Q1"":""AV"",""Q2"":""RG"",""Q3"":""JV"",""Q4"":""WE""}","","","","","","","","","",""
"fullscreenexit","3","107294","fullscreenexit","6092dea4efd6d61350f0fdbf","bdp_sd","Sun Mar 26 2023 09:16:40 GMT-0500 (Central Daylight Time)","198460","","","","","","","","","","","","","","","","",""
"","","","","6092dea4efd6d61350f0fdbf","bdp_sd","Sun Mar 26 2023 09:16:40 GMT-0500 (Central Daylight Time)","198460","fullscreen","3","108057","0.0-3.0","","","","true","","","","","","","","",""
"","","","fullscreenfail","6092dea4efd6d61350f0fdbf","bdp_sd","Sun Mar 26 2023 09:16:40 GMT-0500 (Central Daylight Time)","198460","image-keyboard-response","4","109468","0.0-4.0-0.0","","1407","","","","32","","","","","","",""
"","","","","6092dea4efd6d61350f0fdbf","bdp_sd","Sun Mar 26 2023 09:16:40 GMT-0500 (Central Daylight Time)","198460","instructions","5","125773","0.0-5.0","[{""page_index"":0,""viewing_time"":3136},{""page_index"":1,""viewing_time"":10375},{""page_index"":2,""viewing_time"":2529}]","16040","","","","","","","","","","",""
"","","","FIX","6092dea4efd6d61350f0fdbf","bdp_sd","Sun Mar 26 2023 09:16:40 GMT-0500 (Central Daylight Time)","198460","html-keyboard-response","6","126275","0.0-6.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6092dea4efd6d61350f0fdbf","bdp_sd","Sun Mar 26 2023 09:16:40 GMT-0500 (Central Daylight Time)","198460","html-keyboard-response","7","130789","0.0-6.0-2.0","","4509","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>JV</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$55<br>for<br>yourself","$75<br>for<br>4","1","55","75","4","SELF"
"","","","offerFB","6092dea4efd6d61350f0fdbf","bdp_sd","Sun Mar 26 2023 09:16:40 GMT-0500 (Central Daylight Time)","198460","html-keyboard-response","8","131055","0.0-6.0-3.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>JV</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$55<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$55<br>for<br>yourself","$75<br>for<br>4","1","55","75","4",""
