"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","success","stimulus","key_press","trialtype","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","4","0.0-0.0","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","","","","","","","","","","","","",""
"instructions","1","1697","0.0-1.0","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","[{""page_index"":0,""viewing_time"":1692}]","1692","","","","","","","","","","","",""
"survey-text","2","19356","0.0-2.0","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","17657","{""Q0"":""NN"",""Q1"":""NN"",""Q2"":""ON"",""Q3"":""NA"",""Q4"":""NA""}","","","","","","","","","","",""
"fullscreen","3","21479","0.0-3.0","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","","","true","","","","","","","","","",""
"image-keyboard-response","4","22436","0.0-4.0-0.0","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","956","","","","32","fullscreenfail","","","","","","",""
"instructions","5","41121","0.0-5.0","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","[{""page_index"":0,""viewing_time"":4044},{""page_index"":1,""viewing_time"":7260},{""page_index"":2,""viewing_time"":7129}]","18433","","","","","","","","","","","",""
"html-keyboard-response","6","41625","0.0-6.0-1.0","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","7","45828","0.0-6.0-2.0","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","4200","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>NA</div></div><div class='cr'><div class='vertical-center'>$19<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","offer","$19<br>for<br>yourself","$25<br>for<br>4","1","19","25","4","SELF"
"html-keyboard-response","8","46081","0.0-6.0-3.0","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>NA</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$19<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","offerFB","$19<br>for<br>yourself","$25<br>for<br>4","1","19","25","4",""
"html-keyboard-response","9","46583","0.0-6.0-1.1","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","10","48808","0.0-6.0-2.1","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","2223","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>NA</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","offer","$55<br>for<br>yourself","$75<br>for<br>4","1","55","75","4","OTHER"
"html-keyboard-response","11","49060","0.0-6.0-3.1","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$75<br>for<br>NA</font></div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","offerFB","$55<br>for<br>yourself","$75<br>for<br>4","1","55","75","4",""
"html-keyboard-response","12","49564","0.0-6.0-1.2","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","13","51493","0.0-6.0-2.2","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","1927","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>NA</div></div><div class='cr'><div class='vertical-center'>$40<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","offer","$40<br>for<br>yourself","$55<br>for<br>4","1","40","55","4","SELF"
"html-keyboard-response","14","51746","0.0-6.0-3.2","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>NA</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$40<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","offerFB","$40<br>for<br>yourself","$55<br>for<br>4","1","40","55","4",""
"html-keyboard-response","15","52250","0.0-6.0-1.3","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","16","54049","0.0-6.0-2.3","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","1797","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>NN</div></div><div class='cr'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","offer","$33<br>for<br>yourself","$80<br>for<br>2","1","33","80","2","OTHER"
"html-keyboard-response","17","54303","0.0-6.0-3.3","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>NN</font></div></div><div class='cr'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","offerFB","$33<br>for<br>yourself","$80<br>for<br>2","1","33","80","2",""
"html-keyboard-response","18","54805","0.0-6.0-1.4","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","19","57004","0.0-6.0-2.4","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","2197","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>for<br>NA</div></div><div class='cr'><div class='vertical-center'>$49<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","offer","$49<br>for<br>yourself","$60<br>for<br>4","1","49","60","4","SELF"
"html-keyboard-response","20","57257","0.0-6.0-3.4","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>for<br>NA</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$49<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","offerFB","$49<br>for<br>yourself","$60<br>for<br>4","1","49","60","4",""
"html-keyboard-response","21","57759","0.0-6.0-1.5","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
"html-keyboard-response","22","62475","0.0-6.0-2.5","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","4714","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>ON</div></div><div class='cr'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","offer","$27<br>for<br>yourself","$50<br>for<br>3","1","27","50","3","OTHER"
"html-keyboard-response","23","62728","0.0-6.0-3.5","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>ON</font></div></div><div class='cr'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","offerFB","$27<br>for<br>yourself","$50<br>for<br>3","1","27","50","3",""
"html-keyboard-response","24","63231","0.0-6.0-1.6","63e51ddb19fccd05514c629c","bdp_sd","Tue Mar 28 2023 18:27:42 GMT-0700 (Pacific Daylight Time)","117499","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","FIX","","","","","","",""
