"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"focus","0","0","focusevent","5e03f8517f08edece67a3137","bdp_sd","Sat Mar 25 2023 17:15:18 GMT-0700 (Pacific Daylight Time)","530322","","","","","","","","","","","","","","","","",""
"","","","","5e03f8517f08edece67a3137","bdp_sd","Sat Mar 25 2023 17:15:18 GMT-0700 (Pacific Daylight Time)","530322","pavlovia","0","7","0.0-0.0","","","","","","","","","","","","",""
"","","","","5e03f8517f08edece67a3137","bdp_sd","Sat Mar 25 2023 17:15:18 GMT-0700 (Pacific Daylight Time)","530322","instructions","1","3063","0.0-1.0","[{""page_index"":0,""viewing_time"":3052}]","3053","","","","","","","","","","",""
"","","","","5e03f8517f08edece67a3137","bdp_sd","Sat Mar 25 2023 17:15:18 GMT-0700 (Pacific Daylight Time)","530322","survey-text","2","234717","0.0-2.0","","231650","{""Q0"":""James M"",""Q1"":""Bill D"",""Q2"":""Jenna S"",""Q3"":""Derek S"",""Q4"":""Ryan W""}","","","","","","","","","",""
"fullscreenexit","3","236637","fullscreenexit","5e03f8517f08edece67a3137","bdp_sd","Sat Mar 25 2023 17:15:18 GMT-0700 (Pacific Daylight Time)","530322","","","","","","","","","","","","","","","","",""
"","","","","5e03f8517f08edece67a3137","bdp_sd","Sat Mar 25 2023 17:15:18 GMT-0700 (Pacific Daylight Time)","530322","fullscreen","3","237406","0.0-3.0","","","","true","","","","","","","","",""
"","","","fullscreenfail","5e03f8517f08edece67a3137","bdp_sd","Sat Mar 25 2023 17:15:18 GMT-0700 (Pacific Daylight Time)","530322","image-keyboard-response","4","240565","0.0-4.0-0.0","","3154","","","","32","","","","","","",""
"","","","","5e03f8517f08edece67a3137","bdp_sd","Sat Mar 25 2023 17:15:18 GMT-0700 (Pacific Daylight Time)","530322","instructions","5","344646","0.0-5.0","[{""page_index"":0,""viewing_time"":11840},{""page_index"":1,""viewing_time"":26976},{""page_index"":2,""viewing_time"":65004}]","103821","","","","","","","","","","",""
"","","","FIX","5e03f8517f08edece67a3137","bdp_sd","Sat Mar 25 2023 17:15:18 GMT-0700 (Pacific Daylight Time)","530322","html-keyboard-response","6","345160","0.0-6.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e03f8517f08edece67a3137","bdp_sd","Sat Mar 25 2023 17:15:18 GMT-0700 (Pacific Daylight Time)","530322","html-keyboard-response","7","352053","0.0-6.0-2.0","","6888","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Jenna S</div></div><div class='cr'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3","SELF"
"","","","offerFB","5e03f8517f08edece67a3137","bdp_sd","Sat Mar 25 2023 17:15:18 GMT-0700 (Pacific Daylight Time)","530322","html-keyboard-response","8","352319","0.0-6.0-3.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Jenna S</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$24<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3",""
"","","","FIX","5e03f8517f08edece67a3137","bdp_sd","Sat Mar 25 2023 17:15:18 GMT-0700 (Pacific Daylight Time)","530322","html-keyboard-response","9","352831","0.0-6.0-1.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
