"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","2","0.0-0.0","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","","","","","","","","","","","","","","","","","",""
"instructions","1","805","0.0-1.0","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","[{""page_index"":0,""viewing_time"":803}]","803","","","","","","","","","","","","","","","",""
"survey-text","2","95158","0.0-2.0","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","","94353","{""Q0"":""Sam H"",""Q1"":""Kimmy L"",""Q2"":""Cassie R"",""Q3"":""Joshua S"",""Q4"":""Carmin V""}","","","","","","","","","","","","","","",""
"","","","","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","","","","blur","3","101832","blurevent","1","","","","","","","","","",""
"","","","","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","","","","focus","3","105160","focusevent","","","","","","","","","","",""
"","","","","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","","","","blur","3","107376","blurevent","","","","","","","","","","",""
"","","","","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","","","","focus","3","107993","focusevent","","","","","","","","","","",""
"","","","","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","","","","fullscreenenter","3","108715","fullscreenenter","","","","","","","","","","",""
"fullscreen","3","109711","0.0-3.0","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","","","","","","","","","true","","","","","","","","",""
"","","","","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","","","","blur","4","128377","blurevent","2","","","","","","","","","",""
"","","","","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","","","","focus","4","133102","focusevent","","","","","","","","","","",""
"instructions","4","136973","0.0-5.0","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","[{""page_index"":0,""viewing_time"":8168},{""page_index"":1,""viewing_time"":15605},{""page_index"":2,""viewing_time"":3487}]","27260","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","151617","0.0-6.0-0.0-0.0","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","","14642","","","","","blurwarn","2","","","49","","","","","","",""
"html-keyboard-response","6","152369","0.0-6.0-1.0","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","7","155489","0.0-6.0-2.0","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","","3118","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>Cassie R</div></div><div class='cr'><div class='vertical-center'>$14<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$14<br>for<br>yourself","$25<br>for<br>3","1","14","25","3","OTHER"
"html-keyboard-response","8","155740","0.0-6.0-3.0","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>Cassie R</font></div></div><div class='cr'><div class='vertical-center'>$14<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$14<br>for<br>yourself","$25<br>for<br>3","1","14","25","3",""
"html-keyboard-response","9","156243","0.0-6.0-1.1","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","10","159010","0.0-6.0-2.1","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","","2766","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>for<br>Joshua S</div></div><div class='cr'><div class='vertical-center'>$49<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$49<br>for<br>yourself","$60<br>for<br>4","1","49","60","4","SELF"
"html-keyboard-response","11","159261","0.0-6.0-3.1","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>for<br>Joshua S</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$49<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$49<br>for<br>yourself","$60<br>for<br>4","1","49","60","4",""
"html-keyboard-response","12","159763","0.0-6.0-1.2","6400da061dc90debed65731b","bdp_sd","Mon Mar 27 2023 15:04:55 GMT-0400 (Eastern Daylight Time)","223228","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
