"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"focus","0","0","focusevent","612fbc37af2136fe81fc71a9","bdp_sd","Wed Mar 29 2023 09:27:52 GMT-0700 (Pacific Daylight Time)","246853","","","","","","","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_sd","Wed Mar 29 2023 09:27:52 GMT-0700 (Pacific Daylight Time)","246853","pavlovia","0","9","0.0-0.0","","","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_sd","Wed Mar 29 2023 09:27:52 GMT-0700 (Pacific Daylight Time)","246853","instructions","1","2475","0.0-1.0","[{""page_index"":0,""viewing_time"":2465}]","2465","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_sd","Wed Mar 29 2023 09:27:52 GMT-0700 (Pacific Daylight Time)","246853","survey-text","2","127060","0.0-2.0","","124582","{""Q0"":""Londyn W."",""Q1"":""Sydney W."",""Q2"":""Kaitlyn R."",""Q3"":""Tammy S."",""Q4"":""Corinne H.""}","","","","","","","","","",""
"fullscreenexit","3","129154","fullscreenexit","612fbc37af2136fe81fc71a9","bdp_sd","Wed Mar 29 2023 09:27:52 GMT-0700 (Pacific Daylight Time)","246853","","","","","","","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_sd","Wed Mar 29 2023 09:27:52 GMT-0700 (Pacific Daylight Time)","246853","fullscreen","3","130138","0.0-3.0","","","","true","","","","","","","","",""
"","","","fullscreenfail","612fbc37af2136fe81fc71a9","bdp_sd","Wed Mar 29 2023 09:27:52 GMT-0700 (Pacific Daylight Time)","246853","image-keyboard-response","4","132331","0.0-4.0-0.0","","2191","","","","32","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_sd","Wed Mar 29 2023 09:27:52 GMT-0700 (Pacific Daylight Time)","246853","instructions","5","174192","0.0-5.0","[{""page_index"":0,""viewing_time"":12218},{""page_index"":1,""viewing_time"":17126},{""page_index"":2,""viewing_time"":12263}]","41608","","","","","","","","","","",""
"","","","FIX","612fbc37af2136fe81fc71a9","bdp_sd","Wed Mar 29 2023 09:27:52 GMT-0700 (Pacific Daylight Time)","246853","html-keyboard-response","6","174693","0.0-6.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","612fbc37af2136fe81fc71a9","bdp_sd","Wed Mar 29 2023 09:27:52 GMT-0700 (Pacific Daylight Time)","246853","html-keyboard-response","7","176751","0.0-6.0-2.0","","2054","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>Tammy S.</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$40<br>for<br>yourself","$55<br>for<br>4","0","40","55","4","OTHER"
"","","","offerFB","612fbc37af2136fe81fc71a9","bdp_sd","Wed Mar 29 2023 09:27:52 GMT-0700 (Pacific Daylight Time)","246853","html-keyboard-response","8","177005","0.0-6.0-3.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$55<br>for<br>Tammy S.</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$40<br>for<br>yourself","$55<br>for<br>4","0","40","55","4",""
"","","","FIX","612fbc37af2136fe81fc71a9","bdp_sd","Wed Mar 29 2023 09:27:52 GMT-0700 (Pacific Daylight Time)","246853","html-keyboard-response","9","177509","0.0-6.0-1.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","612fbc37af2136fe81fc71a9","bdp_sd","Wed Mar 29 2023 09:27:52 GMT-0700 (Pacific Daylight Time)","246853","html-keyboard-response","10","178895","0.0-6.0-2.1","","1383","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>Corinne H.</div></div><div class='cr'><div class='vertical-center'>$67<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$67<br>for<br>yourself","$75<br>for<br>5","1","67","75","5","OTHER"
