"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"focus","0","0","focusevent","63d9f41910c61f3eb102079f","bdp_sd","Sat Apr 01 2023 18:57:21 GMT-0500 (Central Daylight Time)","291494","","","","","","","","","","","","","","","","",""
"","","","","63d9f41910c61f3eb102079f","bdp_sd","Sat Apr 01 2023 18:57:21 GMT-0500 (Central Daylight Time)","291494","pavlovia","0","6","0.0-0.0","","","","","","","","","","","","",""
"","","","","63d9f41910c61f3eb102079f","bdp_sd","Sat Apr 01 2023 18:57:21 GMT-0500 (Central Daylight Time)","291494","instructions","1","3244","0.0-1.0","[{""page_index"":0,""viewing_time"":3237}]","3237","","","","","","","","","","",""
"","","","","63d9f41910c61f3eb102079f","bdp_sd","Sat Apr 01 2023 18:57:21 GMT-0500 (Central Daylight Time)","291494","survey-text","2","162993","0.0-2.0","","159742","{""Q0"":""Rich C"",""Q1"":""Chris B"",""Q2"":""Leslie C"",""Q3"":""Vince A"",""Q4"":""Anthony G""}","","","","","","","","","",""
"fullscreenexit","3","164851","fullscreenexit","63d9f41910c61f3eb102079f","bdp_sd","Sat Apr 01 2023 18:57:21 GMT-0500 (Central Daylight Time)","291494","","","","","","","","","","","","","","","","",""
"","","","","63d9f41910c61f3eb102079f","bdp_sd","Sat Apr 01 2023 18:57:21 GMT-0500 (Central Daylight Time)","291494","fullscreen","3","165840","0.0-3.0","","","","true","","","","","","","","",""
"","","","fullscreenfail","63d9f41910c61f3eb102079f","bdp_sd","Sat Apr 01 2023 18:57:21 GMT-0500 (Central Daylight Time)","291494","image-keyboard-response","4","166731","0.0-4.0-0.0","","884","","","","32","","","","","","",""
"","","","","63d9f41910c61f3eb102079f","bdp_sd","Sat Apr 01 2023 18:57:21 GMT-0500 (Central Daylight Time)","291494","instructions","5","193813","0.0-5.0","[{""page_index"":0,""viewing_time"":8498},{""page_index"":1,""viewing_time"":13561},{""page_index"":2,""viewing_time"":4768}]","26827","","","","","","","","","","",""
"","","","FIX","63d9f41910c61f3eb102079f","bdp_sd","Sat Apr 01 2023 18:57:21 GMT-0500 (Central Daylight Time)","291494","html-keyboard-response","6","194318","0.0-6.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d9f41910c61f3eb102079f","bdp_sd","Sat Apr 01 2023 18:57:21 GMT-0500 (Central Daylight Time)","291494","html-keyboard-response","7","198232","0.0-6.0-2.0","","3907","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>Vince A</div></div><div class='cr'><div class='vertical-center'>$19<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$19<br>for<br>yourself","$25<br>for<br>4","1","19","25","4","SELF"
"","","","offerFB","63d9f41910c61f3eb102079f","bdp_sd","Sat Apr 01 2023 18:57:21 GMT-0500 (Central Daylight Time)","291494","html-keyboard-response","8","198492","0.0-6.0-3.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>Vince A</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$19<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$19<br>for<br>yourself","$25<br>for<br>4","1","19","25","4",""
"","","","FIX","63d9f41910c61f3eb102079f","bdp_sd","Sat Apr 01 2023 18:57:21 GMT-0500 (Central Daylight Time)","291494","html-keyboard-response","9","199002","0.0-6.0-1.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
