"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","numBlurs","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","2","0.0-0.0","5b9b422307c6960001614c35","bdp_sd","Tue Mar 28 2023 22:44:26 GMT-0400 (Eastern Daylight Time)","268781","","","","","","","","","","","","","","","","","",""
"instructions","1","2698","0.0-1.0","5b9b422307c6960001614c35","bdp_sd","Tue Mar 28 2023 22:44:26 GMT-0400 (Eastern Daylight Time)","268781","[{""page_index"":0,""viewing_time"":2696}]","2696","","","","","","","","","","","","","","","",""
"","","","","5b9b422307c6960001614c35","bdp_sd","Tue Mar 28 2023 22:44:26 GMT-0400 (Eastern Daylight Time)","268781","","","blur","2","8285","blurevent","1","","","","","","","","","","",""
"","","","","5b9b422307c6960001614c35","bdp_sd","Tue Mar 28 2023 22:44:26 GMT-0400 (Eastern Daylight Time)","268781","","","focus","2","9549","focusevent","","","","","","","","","","","",""
"survey-text","2","89319","0.0-2.0","5b9b422307c6960001614c35","bdp_sd","Tue Mar 28 2023 22:44:26 GMT-0400 (Eastern Daylight Time)","268781","","86618","","","","","","{""Q0"":""Daniella P"",""Q1"":""Andy F"",""Q2"":""Andrew T"",""Q3"":""Elizabeth L"",""Q4"":""Vlad T""}","","","","","","","","","",""
"","","","","5b9b422307c6960001614c35","bdp_sd","Tue Mar 28 2023 22:44:26 GMT-0400 (Eastern Daylight Time)","268781","","","fullscreenenter","3","92181","fullscreenenter","","","","","","","","","","","",""
"fullscreen","3","93173","0.0-3.0","5b9b422307c6960001614c35","bdp_sd","Tue Mar 28 2023 22:44:26 GMT-0400 (Eastern Daylight Time)","268781","","","","","","","","","true","","","","","","","","",""
"instructions","4","162040","0.0-5.0","5b9b422307c6960001614c35","bdp_sd","Tue Mar 28 2023 22:44:26 GMT-0400 (Eastern Daylight Time)","268781","[{""page_index"":0,""viewing_time"":9574},{""page_index"":1,""viewing_time"":48226},{""page_index"":2,""viewing_time"":11065}]","68865","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","183910","0.0-6.0-0.0-0.0","5b9b422307c6960001614c35","bdp_sd","Tue Mar 28 2023 22:44:26 GMT-0400 (Eastern Daylight Time)","268781","","21868","","","","blurwarn","1","","","","49","","","","","","",""
"html-keyboard-response","6","184683","0.0-6.0-1.0","5b9b422307c6960001614c35","bdp_sd","Tue Mar 28 2023 22:44:26 GMT-0400 (Eastern Daylight Time)","268781","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
