"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"focus","0","0","focusevent","5f5834134283933a1c3b42d0","bdp_sd","Mon Mar 27 2023 15:33:51 GMT-0400 (Eastern Daylight Time)","227625","","","","","","","","","","","","","","","","",""
"","","","","5f5834134283933a1c3b42d0","bdp_sd","Mon Mar 27 2023 15:33:51 GMT-0400 (Eastern Daylight Time)","227625","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","",""
"","","","","5f5834134283933a1c3b42d0","bdp_sd","Mon Mar 27 2023 15:33:51 GMT-0400 (Eastern Daylight Time)","227625","instructions","1","2714","0.0-1.0","[{""page_index"":0,""viewing_time"":2712}]","2712","","","","","","","","","","",""
"","","","","5f5834134283933a1c3b42d0","bdp_sd","Mon Mar 27 2023 15:33:51 GMT-0400 (Eastern Daylight Time)","227625","survey-text","2","113044","0.0-2.0","","110330","{""Q0"":""James C"",""Q1"":""Amelia B"",""Q2"":""Jacob W"",""Q3"":""Jim E"",""Q4"":""Brian T""}","","","","","","","","","",""
"fullscreenexit","3","114805","fullscreenexit","5f5834134283933a1c3b42d0","bdp_sd","Mon Mar 27 2023 15:33:51 GMT-0400 (Eastern Daylight Time)","227625","","","","","","","","","","","","","","","","",""
"","","","","5f5834134283933a1c3b42d0","bdp_sd","Mon Mar 27 2023 15:33:51 GMT-0400 (Eastern Daylight Time)","227625","fullscreen","3","115601","0.0-3.0","","","","true","","","","","","","","",""
"","","","fullscreenfail","5f5834134283933a1c3b42d0","bdp_sd","Mon Mar 27 2023 15:33:51 GMT-0400 (Eastern Daylight Time)","227625","image-keyboard-response","4","117538","0.0-4.0-0.0","","1937","","","","32","","","","","","",""
"","","","","5f5834134283933a1c3b42d0","bdp_sd","Mon Mar 27 2023 15:33:51 GMT-0400 (Eastern Daylight Time)","227625","instructions","5","160102","0.0-5.0","[{""page_index"":0,""viewing_time"":11023},{""page_index"":1,""viewing_time"":14897},{""page_index"":2,""viewing_time"":16379}]","42299","","","","","","","","","","",""
"","","","FIX","5f5834134283933a1c3b42d0","bdp_sd","Mon Mar 27 2023 15:33:51 GMT-0400 (Eastern Daylight Time)","227625","html-keyboard-response","6","160608","0.0-6.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5f5834134283933a1c3b42d0","bdp_sd","Mon Mar 27 2023 15:33:51 GMT-0400 (Eastern Daylight Time)","227625","html-keyboard-response","7","162774","0.0-6.0-2.0","","2165","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>Jim E</div></div><div class='cr'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br>for<br>yourself","$50<br>for<br>4","1","34","50","4","SELF"
