"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"blur","0","0","blurevent","1","636570d91a49a6d6cbcbc854","bdp_sd","Mon Mar 27 2023 10:47:01 GMT (Coordinated Universal Time)","526784","","","","","","","","","","","","","","","","",""
"","","","","","636570d91a49a6d6cbcbc854","bdp_sd","Mon Mar 27 2023 10:47:01 GMT (Coordinated Universal Time)","526784","pavlovia","0","20","0.0-0.0","","","","","","","","","","","","",""
"focus","1","2409","focusevent","","636570d91a49a6d6cbcbc854","bdp_sd","Mon Mar 27 2023 10:47:01 GMT (Coordinated Universal Time)","526784","","","","","","","","","","","","","","","","",""
"","","","","","636570d91a49a6d6cbcbc854","bdp_sd","Mon Mar 27 2023 10:47:01 GMT (Coordinated Universal Time)","526784","instructions","1","9725","0.0-1.0","[{""page_index"":0,""viewing_time"":9702}]","9702","","","","","","","","","","",""
"","","","","","636570d91a49a6d6cbcbc854","bdp_sd","Mon Mar 27 2023 10:47:01 GMT (Coordinated Universal Time)","526784","survey-text","2","204423","0.0-2.0","","194696","{""Q0"":""Cynthia A"",""Q1"":""Chris D"",""Q2"":""Steven S"",""Q3"":""Larson K"",""Q4"":""Ernest E""}","","","","","","","","","",""
"fullscreenenter","3","208067","fullscreenenter","","636570d91a49a6d6cbcbc854","bdp_sd","Mon Mar 27 2023 10:47:01 GMT (Coordinated Universal Time)","526784","","","","","","","","","","","","","","","","",""
"","","","","","636570d91a49a6d6cbcbc854","bdp_sd","Mon Mar 27 2023 10:47:01 GMT (Coordinated Universal Time)","526784","fullscreen","3","209007","0.0-3.0","","","","true","","","","","","","","",""
"","","","","","636570d91a49a6d6cbcbc854","bdp_sd","Mon Mar 27 2023 10:47:01 GMT (Coordinated Universal Time)","526784","instructions","4","370734","0.0-5.0","[{""page_index"":0,""viewing_time"":81049},{""page_index"":1,""viewing_time"":60892},{""page_index"":2,""viewing_time"":19777}]","161719","","","","","","","","","","",""
"","","","blurwarn","1","636570d91a49a6d6cbcbc854","bdp_sd","Mon Mar 27 2023 10:47:01 GMT (Coordinated Universal Time)","526784","image-keyboard-response","5","402784","0.0-6.0-0.0-0.0","","32044","","","","49","","","","","","",""
"","","","FIX","","636570d91a49a6d6cbcbc854","bdp_sd","Mon Mar 27 2023 10:47:01 GMT (Coordinated Universal Time)","526784","html-keyboard-response","6","403540","0.0-6.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","636570d91a49a6d6cbcbc854","bdp_sd","Mon Mar 27 2023 10:47:01 GMT (Coordinated Universal Time)","526784","html-keyboard-response","7","413329","0.0-6.0-2.0","","9784","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>Steven S</div></div><div class='cr'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$27<br>for<br>yourself","$50<br>for<br>3","1","27","50","3","SELF"
"","","","offerFB","","636570d91a49a6d6cbcbc854","bdp_sd","Mon Mar 27 2023 10:47:01 GMT (Coordinated Universal Time)","526784","html-keyboard-response","8","413588","0.0-6.0-3.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>Steven S</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$27<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$27<br>for<br>yourself","$50<br>for<br>3","1","27","50","3",""
"","","","FIX","","636570d91a49a6d6cbcbc854","bdp_sd","Mon Mar 27 2023 10:47:01 GMT (Coordinated Universal Time)","526784","html-keyboard-response","9","414092","0.0-6.0-1.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","636570d91a49a6d6cbcbc854","bdp_sd","Mon Mar 27 2023 10:47:01 GMT (Coordinated Universal Time)","526784","html-keyboard-response","10","417995","0.0-6.0-2.1","","3899","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>Ernest E</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22<br>for<br>yourself","$25<br>for<br>5","0","22","25","5","SELF"
