"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","numBlurs","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","4","0.0-0.0","63d42387aba51e699ab9ce5c","bdp_sd","Fri Mar 24 2023 21:25:28 GMT-0400 (Eastern Daylight Time)","224398","","","","","","","","","","","","","","","","","",""
"","","","","63d42387aba51e699ab9ce5c","bdp_sd","Fri Mar 24 2023 21:25:28 GMT-0400 (Eastern Daylight Time)","224398","blur","1","3053","blurevent","1","","","","","","","","","","","","",""
"","","","","63d42387aba51e699ab9ce5c","bdp_sd","Fri Mar 24 2023 21:25:28 GMT-0400 (Eastern Daylight Time)","224398","focus","1","6313","focusevent","","","","","","","","","","","","","",""
"instructions","1","10023","0.0-1.0","63d42387aba51e699ab9ce5c","bdp_sd","Fri Mar 24 2023 21:25:28 GMT-0400 (Eastern Daylight Time)","224398","","","","","","[{""page_index"":0,""viewing_time"":10018}]","10018","","","","","","","","","","",""
"survey-text","2","86429","0.0-2.0","63d42387aba51e699ab9ce5c","bdp_sd","Fri Mar 24 2023 21:25:28 GMT-0400 (Eastern Daylight Time)","224398","","","","","","","76405","{""Q0"":""Roger C"",""Q1"":""Kevin H"",""Q2"":""Kayla E"",""Q3"":""Robert M"",""Q4"":""Donald F""}","","","","","","","","","",""
"","","","","63d42387aba51e699ab9ce5c","bdp_sd","Fri Mar 24 2023 21:25:28 GMT-0400 (Eastern Daylight Time)","224398","fullscreenenter","3","88233","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","3","89214","0.0-3.0","63d42387aba51e699ab9ce5c","bdp_sd","Fri Mar 24 2023 21:25:28 GMT-0400 (Eastern Daylight Time)","224398","","","","","","","","","true","","","","","","","","",""
"instructions","4","114125","0.0-5.0","63d42387aba51e699ab9ce5c","bdp_sd","Fri Mar 24 2023 21:25:28 GMT-0400 (Eastern Daylight Time)","224398","","","","","","[{""page_index"":0,""viewing_time"":7879},{""page_index"":1,""viewing_time"":14884},{""page_index"":2,""viewing_time"":2146}]","24909","","","","","","","","","","",""
"","","","","63d42387aba51e699ab9ce5c","bdp_sd","Fri Mar 24 2023 21:25:28 GMT-0400 (Eastern Daylight Time)","224398","fullscreenexit","5","149816","fullscreenexit","","","","","","","","","","","","","",""
"image-keyboard-response","5","164447","0.0-6.0-0.0-0.0","63d42387aba51e699ab9ce5c","bdp_sd","Fri Mar 24 2023 21:25:28 GMT-0400 (Eastern Daylight Time)","224398","","","","blurwarn","1","","50321","","","","49","","","","","","",""
"html-keyboard-response","6","165200","0.0-6.0-1.0","63d42387aba51e699ab9ce5c","bdp_sd","Fri Mar 24 2023 21:25:28 GMT-0400 (Eastern Daylight Time)","224398","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","7","168636","0.0-6.0-2.0","63d42387aba51e699ab9ce5c","bdp_sd","Fri Mar 24 2023 21:25:28 GMT-0400 (Eastern Daylight Time)","224398","","","","offer","","","3435","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>Donald F</div></div><div class='cr'><div class='vertical-center'>$67<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$67<br>for<br>yourself","$75<br>for<br>5","1","67","75","5","SELF"
"html-keyboard-response","8","168888","0.0-6.0-3.0","63d42387aba51e699ab9ce5c","bdp_sd","Fri Mar 24 2023 21:25:28 GMT-0400 (Eastern Daylight Time)","224398","","","","offerFB","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>Donald F</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$67<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$67<br>for<br>yourself","$75<br>for<br>5","1","67","75","5",""
"html-keyboard-response","9","169390","0.0-6.0-1.1","63d42387aba51e699ab9ce5c","bdp_sd","Fri Mar 24 2023 21:25:28 GMT-0400 (Eastern Daylight Time)","224398","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","10","171064","0.0-6.0-2.1","63d42387aba51e699ab9ce5c","bdp_sd","Fri Mar 24 2023 21:25:28 GMT-0400 (Eastern Daylight Time)","224398","","","","offer","","","1673","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Donald F</div></div><div class='cr'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br>for<br>yourself","$35<br>for<br>5","1","34","35","5","SELF"
