"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","1","0.0-0.0","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","","","","","","","","","","","","","","","","",""
"instructions","1","2646","0.0-1.0","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","[{""page_index"":0,""viewing_time"":2644}]","2644","","","","","","","","","","","","","","","",""
"survey-text","2","27595","0.0-2.0","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","24947","{""Q0"":""Grace"",""Q1"":""Renatta"",""Q2"":""Brandon"",""Q3"":""Jacob"",""Q4"":""Michael ""}","","","","","","","","","","","","","","",""
"","","","","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","","","fullscreenenter","3","28918","fullscreenenter","","","","","","","","","","",""
"fullscreen","3","29900","0.0-3.0","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","","","","","","","true","","","","","","","","","",""
"","","","","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","","","fullscreenexit","4","35098","fullscreenexit","","","","","","","","","","",""
"","","","","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","","","blur","4","38239","blurevent","","1","","","","","","","","",""
"","","","","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","","","focus","4","398861","focusevent","","","","","","","","","","",""
"instructions","4","424208","0.0-5.0","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","[{""page_index"":0,""viewing_time"":372922},{""page_index"":1,""viewing_time"":14737},{""page_index"":2,""viewing_time"":6648}]","394307","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","431420","0.0-6.0-0.0-0.0","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","7208","","","","","blurwarn","","1","","49","","","","","","",""
"html-keyboard-response","6","432173","0.0-6.0-1.0","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","7","435696","0.0-6.0-2.0","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","3521","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>Jacob</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$19<br>for<br>yourself","$25<br>for<br>4","0","19","25","4","SELF"
"html-keyboard-response","8","435949","0.0-6.0-3.0","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$19<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>Jacob</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$19<br>for<br>yourself","$25<br>for<br>4","0","19","25","4",""
"html-keyboard-response","9","436451","0.0-6.0-1.1","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","10","438304","0.0-6.0-2.1","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","1852","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Brandon</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br>for<br>yourself","$80<br>for<br>3","0","54","80","3","SELF"
"html-keyboard-response","11","438556","0.0-6.0-3.1","6400d9993ddcc2436a9f2e1a","bdp_sd","Mon Mar 27 2023 13:09:11 GMT-0600 (Mountain Daylight Time)","493151","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$54<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Brandon</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br>for<br>yourself","$80<br>for<br>3","0","54","80","3",""
