"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","5","0.0-0.0","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","","","","","","","","","","","","","","","","",""
"instructions","1","18628","0.0-1.0","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","[{""page_index"":0,""viewing_time"":18618}]","18622","","","","","","","","","","","","","","","",""
"survey-text","2","635604","0.0-2.0","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","616974","{""Q0"":""Bri J"",""Q1"":""Sheri b"",""Q2"":""Kalie g"",""Q3"":""Sarah S"",""Q4"":""Madison l""}","","","","","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","","","blur","3","640482","blurevent","1","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","","","focus","3","640484","focusevent","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","","","blur","3","640486","blurevent","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","","","fullscreenenter","3","640496","fullscreenenter","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","","","focus","3","640727","focusevent","","","","","","","","","","",""
"fullscreen","3","641450","0.0-3.0","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","","","","","","","","true","","","","","","","","",""
"instructions","4","663688","0.0-5.0","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","[{""page_index"":0,""viewing_time"":4405},{""page_index"":1,""viewing_time"":8943},{""page_index"":2,""viewing_time"":8879}]","22229","","","","","","","","","","","","","","","",""
"","","","","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","","","fullscreenexit","5","807797","fullscreenexit","","","","","","","","","","",""
"image-keyboard-response","5","809094","0.0-6.0-0.0-0.0","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","145375","","","","","blurwarn","1","","","49","","","","","","",""
"html-keyboard-response","6","809851","0.0-6.0-1.0","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","7","819726","0.0-6.0-2.0","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","9865","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>Sheri b</div></div><div class='cr'><div class='vertical-center'>$11<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$11<br>for<br>yourself","$30<br>for<br>2","1","11","30","2","OTHER"
"html-keyboard-response","8","819985","0.0-6.0-3.0","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$30<br>for<br>Sheri b</font></div></div><div class='cr'><div class='vertical-center'>$11<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$11<br>for<br>yourself","$30<br>for<br>2","1","11","30","2",""
"html-keyboard-response","9","820490","0.0-6.0-1.1","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","10","823907","0.0-6.0-2.1","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","3412","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>Sarah S</div></div><div class='cr'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br>for<br>yourself","$50<br>for<br>4","1","34","50","4","SELF"
"html-keyboard-response","11","824165","0.0-6.0-3.1","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>Sarah S</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$34<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br>for<br>yourself","$50<br>for<br>4","1","34","50","4",""
"html-keyboard-response","12","824671","0.0-6.0-1.2","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","13","828497","0.0-6.0-2.2","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","3822","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>Bri J</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$31<br>for<br>yourself","$85<br>for<br>1","0","31","85","1","OTHER"
"html-keyboard-response","14","828753","0.0-6.0-3.2","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$85<br>for<br>Bri J</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$31<br>for<br>yourself","$85<br>for<br>1","0","31","85","1",""
"html-keyboard-response","15","829257","0.0-6.0-1.3","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","16","831984","0.0-6.0-2.3","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","2723","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>Madison l</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$80<br>for<br>yourself","$85<br>for<br>5","0","80","85","5","SELF"
"html-keyboard-response","17","832239","0.0-6.0-3.3","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>Madison l</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$80<br>for<br>yourself","$85<br>for<br>5","0","80","85","5",""
"html-keyboard-response","18","832743","0.0-6.0-1.4","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","19","836506","0.0-6.0-2.4","6362aca86b740b1ec4cb6efb","bdp_sd","Mon Mar 27 2023 16:29:29 GMT-0400 (Eastern Daylight Time)","902296","","3760","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Kalie g</div></div><div class='cr'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3","SELF"
