"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","numBlurs","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","28","0.0-0.0","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","","","","","","","","","","","","","","","","","",""
"","","","","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","blur","1","38282","blurevent","1","","","","","","","","","","","","",""
"","","","","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","focus","1","41174","focusevent","","","","","","","","","","","","","",""
"instructions","1","42035","0.0-1.0","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","","","","","","[{""page_index"":0,""viewing_time"":42006}]","42006","","","","","","","","","","",""
"survey-text","2","506258","0.0-2.0","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","","","","","","","464214","{""Q0"":""kp"",""Q1"":""rp"",""Q2"":""cp"",""Q3"":""jl"",""Q4"":""ep""}","","","","","","","","","",""
"","","","","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","fullscreenenter","3","508642","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","3","509573","0.0-3.0","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","","","","","","","","","true","","","","","","","","",""
"instructions","4","670639","0.0-5.0","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","","","","","","[{""page_index"":0,""viewing_time"":18624},{""page_index"":1,""viewing_time"":18769},{""page_index"":2,""viewing_time"":123656}]","161054","","","","","","","","","","",""
"image-keyboard-response","5","678888","0.0-6.0-0.0-0.0","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","","","","blurwarn","1","","8233","","","","49","","","","","","",""
"html-keyboard-response","6","679651","0.0-6.0-1.0","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","7","681952","0.0-6.0-2.0","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","","","","offer","","","2289","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$49<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>jl</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$49<br>for<br>yourself","$60<br>for<br>4","0","49","60","4","SELF"
"html-keyboard-response","8","682212","0.0-6.0-3.0","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","","","","offerFB","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$49<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>jl</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$49<br>for<br>yourself","$60<br>for<br>4","0","49","60","4",""
"html-keyboard-response","9","682728","0.0-6.0-1.1","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","10","686205","0.0-6.0-2.1","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","","","","offer","","","3466","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>rp</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$11<br>for<br>yourself","$30<br>for<br>2","0","11","30","2","SELF"
"html-keyboard-response","11","686461","0.0-6.0-3.1","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","","","","offerFB","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$11<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>rp</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$11<br>for<br>yourself","$30<br>for<br>2","0","11","30","2",""
"html-keyboard-response","12","686967","0.0-6.0-1.2","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","13","690200","0.0-6.0-2.2","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","","","","offer","","","3227","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>rp</div></div><div class='cr'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$15<br>for<br>yourself","$35<br>for<br>2","1","15","35","2","SELF"
"html-keyboard-response","14","690456","0.0-6.0-3.2","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","","","","offerFB","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>rp</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$15<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$15<br>for<br>yourself","$35<br>for<br>2","1","15","35","2",""
"html-keyboard-response","15","690963","0.0-6.0-1.3","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","16","692239","0.0-6.0-2.3","5d1b0776e1c05200018b582d","bdp_sd","Sat Mar 25 2023 20:39:41 GMT-0400 (Eastern Daylight Time)","744093","","","","offer","","","1267","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>ep</div></div><div class='cr'><div class='vertical-center'>$28<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$28<br>for<br>yourself","$30<br>for<br>5","1","28","30","5","SELF"
