"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","numBlurs","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","4","0.0-0.0","602b3ed14ae791260d6d12c5","bdp_sd","Wed Mar 29 2023 21:15:00 GMT-0400 (Eastern Daylight Time)","136884","","","","","","","","","","","","","","","","","",""
"","","","","602b3ed14ae791260d6d12c5","bdp_sd","Wed Mar 29 2023 21:15:00 GMT-0400 (Eastern Daylight Time)","136884","blur","1","2734","blurevent","1","","","","","","","","","","","","",""
"","","","","602b3ed14ae791260d6d12c5","bdp_sd","Wed Mar 29 2023 21:15:00 GMT-0400 (Eastern Daylight Time)","136884","focus","1","4782","focusevent","","","","","","","","","","","","","",""
"instructions","1","6542","0.0-1.0","602b3ed14ae791260d6d12c5","bdp_sd","Wed Mar 29 2023 21:15:00 GMT-0400 (Eastern Daylight Time)","136884","","","","","","[{""page_index"":0,""viewing_time"":6537}]","6537","","","","","","","","","","",""
"survey-text","2","43357","0.0-2.0","602b3ed14ae791260d6d12c5","bdp_sd","Wed Mar 29 2023 21:15:00 GMT-0400 (Eastern Daylight Time)","136884","","","","","","","36812","{""Q0"":""bill h"",""Q1"":""cheri h"",""Q2"":""eric s"",""Q3"":""justin w"",""Q4"":""galmy s""}","","","","","","","","","",""
"","","","","602b3ed14ae791260d6d12c5","bdp_sd","Wed Mar 29 2023 21:15:00 GMT-0400 (Eastern Daylight Time)","136884","fullscreenenter","3","44868","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","3","45802","0.0-3.0","602b3ed14ae791260d6d12c5","bdp_sd","Wed Mar 29 2023 21:15:00 GMT-0400 (Eastern Daylight Time)","136884","","","","","","","","","true","","","","","","","","",""
"instructions","4","65772","0.0-5.0","602b3ed14ae791260d6d12c5","bdp_sd","Wed Mar 29 2023 21:15:00 GMT-0400 (Eastern Daylight Time)","136884","","","","","","[{""page_index"":0,""viewing_time"":6270},{""page_index"":1,""viewing_time"":8645},{""page_index"":2,""viewing_time"":5053}]","19968","","","","","","","","","","",""
"image-keyboard-response","5","78841","0.0-6.0-0.0-0.0","602b3ed14ae791260d6d12c5","bdp_sd","Wed Mar 29 2023 21:15:00 GMT-0400 (Eastern Daylight Time)","136884","","","","blurwarn","1","","13064","","","","49","","","","","","",""
"html-keyboard-response","6","79595","0.0-6.0-1.0","602b3ed14ae791260d6d12c5","bdp_sd","Wed Mar 29 2023 21:15:00 GMT-0400 (Eastern Daylight Time)","136884","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","7","81948","0.0-6.0-2.0","602b3ed14ae791260d6d12c5","bdp_sd","Wed Mar 29 2023 21:15:00 GMT-0400 (Eastern Daylight Time)","136884","","","","offer","","","2349","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>justin w</div></div><div class='cr'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br>for<br>yourself","$50<br>for<br>4","1","34","50","4","SELF"
"html-keyboard-response","8","82203","0.0-6.0-3.0","602b3ed14ae791260d6d12c5","bdp_sd","Wed Mar 29 2023 21:15:00 GMT-0400 (Eastern Daylight Time)","136884","","","","offerFB","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>justin w</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$34<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br>for<br>yourself","$50<br>for<br>4","1","34","50","4",""
"html-keyboard-response","9","82707","0.0-6.0-1.1","602b3ed14ae791260d6d12c5","bdp_sd","Wed Mar 29 2023 21:15:00 GMT-0400 (Eastern Daylight Time)","136884","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","10","85826","0.0-6.0-2.1","602b3ed14ae791260d6d12c5","bdp_sd","Wed Mar 29 2023 21:15:00 GMT-0400 (Eastern Daylight Time)","136884","","","","offer","","","3116","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>cheri h</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$15<br>for<br>yourself","$35<br>for<br>2","0","15","35","2","SELF"
"html-keyboard-response","11","86081","0.0-6.0-3.1","602b3ed14ae791260d6d12c5","bdp_sd","Wed Mar 29 2023 21:15:00 GMT-0400 (Eastern Daylight Time)","136884","","","","offerFB","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$15<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>cheri h</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$15<br>for<br>yourself","$35<br>for<br>2","0","15","35","2",""
"html-keyboard-response","12","86583","0.0-6.0-1.2","602b3ed14ae791260d6d12c5","bdp_sd","Wed Mar 29 2023 21:15:00 GMT-0400 (Eastern Daylight Time)","136884","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","13","87714","0.0-6.0-2.2","602b3ed14ae791260d6d12c5","bdp_sd","Wed Mar 29 2023 21:15:00 GMT-0400 (Eastern Daylight Time)","136884","","","","offer","","","1128","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>justin w</div></div><div class='cr'><div class='vertical-center'>$40<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$40<br>for<br>yourself","$55<br>for<br>4","1","40","55","4","SELF"
