"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"focus","0","0","focusevent","61103c2b7810420e5f23f437","bdp_sd","Sun Mar 26 2023 15:07:40 GMT-0500 (Central Daylight Time)","275361","","","","","","","","","","","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_sd","Sun Mar 26 2023 15:07:40 GMT-0500 (Central Daylight Time)","275361","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_sd","Sun Mar 26 2023 15:07:40 GMT-0500 (Central Daylight Time)","275361","instructions","1","1654","0.0-1.0","[{""page_index"":0,""viewing_time"":1652}]","1652","","","","","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_sd","Sun Mar 26 2023 15:07:40 GMT-0500 (Central Daylight Time)","275361","survey-text","2","147648","0.0-2.0","","145992","{""Q0"":""Kyle H"",""Q1"":""Aracelis P"",""Q2"":""Abby S"",""Q3"":""Kayla G"",""Q4"":""Jennifer E""}","","","","","","","","","",""
"fullscreenexit","3","149340","fullscreenexit","61103c2b7810420e5f23f437","bdp_sd","Sun Mar 26 2023 15:07:40 GMT-0500 (Central Daylight Time)","275361","","","","","","","","","","","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_sd","Sun Mar 26 2023 15:07:40 GMT-0500 (Central Daylight Time)","275361","fullscreen","3","150339","0.0-3.0","","","","true","","","","","","","","",""
"","","","fullscreenfail","61103c2b7810420e5f23f437","bdp_sd","Sun Mar 26 2023 15:07:40 GMT-0500 (Central Daylight Time)","275361","image-keyboard-response","4","151545","0.0-4.0-0.0","","1204","","","","32","","","","","","",""
"","","","","61103c2b7810420e5f23f437","bdp_sd","Sun Mar 26 2023 15:07:40 GMT-0500 (Central Daylight Time)","275361","instructions","5","175274","0.0-5.0","[{""page_index"":0,""viewing_time"":9629},{""page_index"":1,""viewing_time"":8679},{""page_index"":2,""viewing_time"":5166}]","23474","","","","","","","","","","",""
"","","","FIX","61103c2b7810420e5f23f437","bdp_sd","Sun Mar 26 2023 15:07:40 GMT-0500 (Central Daylight Time)","275361","html-keyboard-response","6","175776","0.0-6.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","61103c2b7810420e5f23f437","bdp_sd","Sun Mar 26 2023 15:07:40 GMT-0500 (Central Daylight Time)","275361","html-keyboard-response","7","181368","0.0-6.0-2.0","","5590","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Abby S</div></div><div class='cr'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3","SELF"
"","","","offerFB","61103c2b7810420e5f23f437","bdp_sd","Sun Mar 26 2023 15:07:40 GMT-0500 (Central Daylight Time)","275361","html-keyboard-response","8","181621","0.0-6.0-3.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Abby S</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$24<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3",""
"","","","FIX","61103c2b7810420e5f23f437","bdp_sd","Sun Mar 26 2023 15:07:40 GMT-0500 (Central Daylight Time)","275361","html-keyboard-response","9","182127","0.0-6.0-1.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","61103c2b7810420e5f23f437","bdp_sd","Sun Mar 26 2023 15:07:40 GMT-0500 (Central Daylight Time)","275361","html-keyboard-response","10","184404","0.0-6.0-2.1","","2277","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>Aracelis P</div></div><div class='cr'><div class='vertical-center'>$11<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$11<br>for<br>yourself","$30<br>for<br>2","1","11","30","2","OTHER"
