"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","numBlurs","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","6","0.0-0.0","5ba863a346de410001ecfb2a","bdp_sd","Sun Apr 02 2023 16:31:28 GMT-0400 (Eastern Daylight Time)","131478","","","","","","","","","","","","","","","","","",""
"instructions","1","13956","0.0-1.0","5ba863a346de410001ecfb2a","bdp_sd","Sun Apr 02 2023 16:31:28 GMT-0400 (Eastern Daylight Time)","131478","[{""page_index"":0,""viewing_time"":13949}]","13949","","","","","","","","","","","","","","","",""
"","","","","5ba863a346de410001ecfb2a","bdp_sd","Sun Apr 02 2023 16:31:28 GMT-0400 (Eastern Daylight Time)","131478","","","blur","2","17438","blurevent","1","","","","","","","","","","",""
"","","","","5ba863a346de410001ecfb2a","bdp_sd","Sun Apr 02 2023 16:31:28 GMT-0400 (Eastern Daylight Time)","131478","","","focus","2","21987","focusevent","","","","","","","","","","","",""
"survey-text","2","44952","0.0-2.0","5ba863a346de410001ecfb2a","bdp_sd","Sun Apr 02 2023 16:31:28 GMT-0400 (Eastern Daylight Time)","131478","","30993","","","","","","{""Q0"":""ts"",""Q1"":""MM"",""Q2"":""JS"",""Q3"":""AM"",""Q4"":""RT""}","","","","","","","","","",""
"","","","","5ba863a346de410001ecfb2a","bdp_sd","Sun Apr 02 2023 16:31:28 GMT-0400 (Eastern Daylight Time)","131478","","","fullscreenenter","3","46676","fullscreenenter","","","","","","","","","","","",""
"fullscreen","3","47659","0.0-3.0","5ba863a346de410001ecfb2a","bdp_sd","Sun Apr 02 2023 16:31:28 GMT-0400 (Eastern Daylight Time)","131478","","","","","","","","","true","","","","","","","","",""
"instructions","4","54599","0.0-5.0","5ba863a346de410001ecfb2a","bdp_sd","Sun Apr 02 2023 16:31:28 GMT-0400 (Eastern Daylight Time)","131478","[{""page_index"":0,""viewing_time"":3245},{""page_index"":1,""viewing_time"":1944},{""page_index"":2,""viewing_time"":1749}]","6938","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","62923","0.0-6.0-0.0-0.0","5ba863a346de410001ecfb2a","bdp_sd","Sun Apr 02 2023 16:31:28 GMT-0400 (Eastern Daylight Time)","131478","","8322","","","","blurwarn","1","","","","49","","","","","","",""
"html-keyboard-response","6","63676","0.0-6.0-1.0","5ba863a346de410001ecfb2a","bdp_sd","Sun Apr 02 2023 16:31:28 GMT-0400 (Eastern Daylight Time)","131478","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
