"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","numBlurs","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"focus","0","0","focusevent","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","","","","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","instructions","1","3041","0.0-1.0","[{""page_index"":0,""viewing_time"":3037}]","3037","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","survey-text","2","58666","0.0-2.0","","55621","{""Q0"":""ricky c"",""Q1"":""jessie w"",""Q2"":""danny c"",""Q3"":""senia t"",""Q4"":""Michell s""}","","","","","","","","","","",""
"blur","3","60141","blurevent","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","","","","","","","","1","","","","","","","","","",""
"focus","3","60194","focusevent","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","","","","","","","","","","","","","","","","","",""
"fullscreenexit","3","60201","fullscreenexit","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","","","","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","fullscreen","3","60927","0.0-3.0","","","","","true","","","","","","","","",""
"","","","fullscreenfail","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","image-keyboard-response","4","61869","0.0-4.0-0.0","","937","","","","","32","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","instructions","5","148685","0.0-5.0","[{""page_index"":0,""viewing_time"":5398},{""page_index"":1,""viewing_time"":73391},{""page_index"":2,""viewing_time"":7769}]","86558","","","","","","","","","","","",""
"","","","blurwarn","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","image-keyboard-response","6","151130","0.0-6.0-0.0-0.0","","2442","","1","","","49","","","","","","",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","7","151893","0.0-6.0-1.0","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","8","157652","0.0-6.0-2.0","","5756","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>jessie w</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$33<br>for<br>yourself","$80<br>for<br>2","0","33","80","2","OTHER"
"","","","offerFB","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","9","157909","0.0-6.0-3.0","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>jessie w</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$33<br>for<br>yourself","$80<br>for<br>2","0","33","80","2",""
"","","","FIX","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","10","158412","0.0-6.0-1.1","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5e654e2055e480000dcd002a","bdp_sd","Mon Mar 27 2023 15:42:36 GMT-0400 (Eastern Daylight Time)","232804","html-keyboard-response","11","161186","0.0-6.0-2.1","","2770","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>danny c</div></div><div class='cr'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$27<br>for<br>yourself","$50<br>for<br>3","1","27","50","3","SELF"
