"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","numBlurs","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","6","0.0-0.0","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","","","","","","","","","","","","","","","","",""
"instructions","1","3540","0.0-1.0","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","[{""page_index"":0,""viewing_time"":3533}]","3533","","","","","","","","","","","","","","","",""
"","","","","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","","blur","2","33784","blurevent","1","","","","","","","","","","",""
"","","","","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","","focus","2","76987","focusevent","","","","","","","","","","","",""
"survey-text","2","203834","0.0-2.0","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","200291","","","","","","{""Q0"":""David C"",""Q1"":""Peter G"",""Q2"":""Carlos V"",""Q3"":""Tony O"",""Q4"":""John P""}","","","","","","","","","",""
"","","","","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","","fullscreenenter","3","207440","fullscreenenter","","","","","","","","","","","",""
"fullscreen","3","208431","0.0-3.0","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","","","","","","","","true","","","","","","","","",""
"instructions","4","259155","0.0-5.0","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","[{""page_index"":0,""viewing_time"":8162},{""page_index"":1,""viewing_time"":27488},{""page_index"":2,""viewing_time"":15072}]","50722","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","272229","0.0-6.0-0.0-0.0","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","13070","","","","blurwarn","1","","","","49","","","","","","",""
"html-keyboard-response","6","272982","0.0-6.0-1.0","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","7","281090","0.0-6.0-2.0","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","8105","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>Tony O</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$40<br>for<br>yourself","$55<br>for<br>4","0","40","55","4","SELF"
"html-keyboard-response","8","281342","0.0-6.0-3.0","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$40<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>Tony O</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$40<br>for<br>yourself","$55<br>for<br>4","0","40","55","4",""
"html-keyboard-response","9","281845","0.0-6.0-1.1","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","10","287370","0.0-6.0-2.1","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","5524","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$49<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>Tony O</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$49<br>for<br>yourself","$60<br>for<br>4","0","49","60","4","OTHER"
"html-keyboard-response","11","287623","0.0-6.0-3.1","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$49<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$60<br>for<br>Tony O</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$49<br>for<br>yourself","$60<br>for<br>4","0","49","60","4",""
"html-keyboard-response","12","288125","0.0-6.0-1.2","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","13","291763","0.0-6.0-2.2","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","3636","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>John P</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$80<br>for<br>yourself","$85<br>for<br>5","0","80","85","5","SELF"
"html-keyboard-response","14","292016","0.0-6.0-3.2","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>John P</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$80<br>for<br>yourself","$85<br>for<br>5","0","80","85","5",""
"html-keyboard-response","15","292519","0.0-6.0-1.3","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","16","296026","0.0-6.0-2.3","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","3507","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>David C</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$31<br>for<br>yourself","$85<br>for<br>1","0","31","85","1","OTHER"
"html-keyboard-response","17","296279","0.0-6.0-3.3","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$85<br>for<br>David C</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$31<br>for<br>yourself","$85<br>for<br>1","0","31","85","1",""
"html-keyboard-response","18","296781","0.0-6.0-1.4","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","19","299722","0.0-6.0-2.4","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","2939","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>Carlos V</div></div><div class='cr'><div class='vertical-center'>$14<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$14<br>for<br>yourself","$25<br>for<br>3","1","14","25","3","OTHER"
"html-keyboard-response","20","299972","0.0-6.0-3.4","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>Carlos V</font></div></div><div class='cr'><div class='vertical-center'>$14<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$14<br>for<br>yourself","$25<br>for<br>3","1","14","25","3",""
"html-keyboard-response","21","300473","0.0-6.0-1.5","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","22","307842","0.0-6.0-2.5","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","7367","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>John P</div></div><div class='cr'><div class='vertical-center'>$22<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22<br>for<br>yourself","$25<br>for<br>5","1","22","25","5","OTHER"
"html-keyboard-response","23","308094","0.0-6.0-3.5","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>John P</font></div></div><div class='cr'><div class='vertical-center'>$22<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$22<br>for<br>yourself","$25<br>for<br>5","1","22","25","5",""
"html-keyboard-response","24","308596","0.0-6.0-1.6","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","25","311819","0.0-6.0-2.6","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","3222","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>Carlos V</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$41<br>for<br>yourself","$75<br>for<br>3","0","41","75","3","OTHER"
"html-keyboard-response","26","312071","0.0-6.0-3.6","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$75<br>for<br>Carlos V</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$41<br>for<br>yourself","$75<br>for<br>3","0","41","75","3",""
"html-keyboard-response","27","312572","0.0-6.0-1.7","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","28","314050","0.0-6.0-2.7","608d0831835bd8f85ac9237e","bdp_sd","Sat Mar 25 2023 19:08:43 GMT-0400 (Eastern Daylight Time)","368935","","1477","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$47<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>John P</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$47<br>for<br>yourself","$50<br>for<br>5","0","47","50","5","OTHER"
