"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"focus","0","0","focusevent","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","","","","","","","","","","","","","","","","","",""
"","","","","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","pavlovia","0","4","0.0-0.0","","","","","","","","","","","","","",""
"","","","","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","instructions","1","2680","0.0-1.0","[{""page_index"":0,""viewing_time"":2676}]","2676","","","","","","","","","","","",""
"blur","2","16378","blurevent","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","","","","","","","1","","","","","","","","","","",""
"focus","2","16982","focusevent","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","","","","","","","","","","","","","","","","","",""
"","","","","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","survey-text","2","68403","0.0-2.0","","65720","","{""Q0"":""Nick B"",""Q1"":""Lily B"",""Q2"":""Joey B"",""Q3"":""Kayla M"",""Q4"":""Alma C""}","","","","","","","","","",""
"fullscreenexit","3","74388","fullscreenexit","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","","","","","","","","","","","","","","","","","",""
"","","","","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","fullscreen","3","75368","0.0-3.0","","","","","true","","","","","","","","",""
"","","","fullscreenfail","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","image-keyboard-response","4","76365","0.0-4.0-0.0","","995","","","","","32","","","","","","",""
"","","","","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","instructions","5","114458","0.0-5.0","[{""page_index"":0,""viewing_time"":11049},{""page_index"":1,""viewing_time"":18758},{""page_index"":2,""viewing_time"":8031}]","37838","","","","","","","","","","","",""
"","","","blurwarn","60fd80b85dd6b22f66d16822","bdp_sd","Sun Mar 26 2023 08:13:54 GMT-0500 (Central Daylight Time)","250743","image-keyboard-response","6","136773","0.0-6.0-0.0-0.0","","22304","1","","","","49","","","","","","",""
