"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"focus","0","0","focusevent","63ea4e8c0e9a66f5843ed4ac","bdp_sd","Sat Mar 25 2023 22:35:04 GMT-0400 (Eastern Daylight Time)","169375","","","","","","","","","","","","","","","","",""
"","","","","63ea4e8c0e9a66f5843ed4ac","bdp_sd","Sat Mar 25 2023 22:35:04 GMT-0400 (Eastern Daylight Time)","169375","pavlovia","0","7","0.0-0.0","","","","","","","","","","","","",""
"","","","","63ea4e8c0e9a66f5843ed4ac","bdp_sd","Sat Mar 25 2023 22:35:04 GMT-0400 (Eastern Daylight Time)","169375","instructions","1","2221","0.0-1.0","[{""page_index"":0,""viewing_time"":2213}]","2213","","","","","","","","","","",""
"","","","","63ea4e8c0e9a66f5843ed4ac","bdp_sd","Sat Mar 25 2023 22:35:04 GMT-0400 (Eastern Daylight Time)","169375","survey-text","2","81404","0.0-2.0","","79178","{""Q0"":""John D"",""Q1"":""Bob E"",""Q2"":""Hank H"",""Q3"":""Dale G"",""Q4"":""Sarah L""}","","","","","","","","","",""
"fullscreenexit","3","82733","fullscreenexit","63ea4e8c0e9a66f5843ed4ac","bdp_sd","Sat Mar 25 2023 22:35:04 GMT-0400 (Eastern Daylight Time)","169375","","","","","","","","","","","","","","","","",""
"","","","","63ea4e8c0e9a66f5843ed4ac","bdp_sd","Sat Mar 25 2023 22:35:04 GMT-0400 (Eastern Daylight Time)","169375","fullscreen","3","83683","0.0-3.0","","","","true","","","","","","","","",""
"","","","fullscreenfail","63ea4e8c0e9a66f5843ed4ac","bdp_sd","Sat Mar 25 2023 22:35:04 GMT-0400 (Eastern Daylight Time)","169375","image-keyboard-response","4","85357","0.0-4.0-0.0","","1667","","","","32","","","","","","",""
"","","","","63ea4e8c0e9a66f5843ed4ac","bdp_sd","Sat Mar 25 2023 22:35:04 GMT-0400 (Eastern Daylight Time)","169375","instructions","5","102180","0.0-5.0","[{""page_index"":0,""viewing_time"":3900},{""page_index"":1,""viewing_time"":6511},{""page_index"":2,""viewing_time"":6157}]","16569","","","","","","","","","","",""
"","","","FIX","63ea4e8c0e9a66f5843ed4ac","bdp_sd","Sat Mar 25 2023 22:35:04 GMT-0400 (Eastern Daylight Time)","169375","html-keyboard-response","6","102682","0.0-6.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63ea4e8c0e9a66f5843ed4ac","bdp_sd","Sat Mar 25 2023 22:35:04 GMT-0400 (Eastern Daylight Time)","169375","html-keyboard-response","7","106167","0.0-6.0-2.0","","3476","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>Hank H</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$24<br>for<br>yourself","$35<br>for<br>3","0","24","35","3","OTHER"
"","","","offerFB","63ea4e8c0e9a66f5843ed4ac","bdp_sd","Sat Mar 25 2023 22:35:04 GMT-0400 (Eastern Daylight Time)","169375","html-keyboard-response","8","106422","0.0-6.0-3.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>Hank H</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$24<br>for<br>yourself","$35<br>for<br>3","0","24","35","3",""
