"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","numBlurs","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","3","0.0-0.0","60ae62a5004d7bdf5428bb95","bdp_sd","Tue Apr 04 2023 12:28:28 GMT-0700 (Pacific Daylight Time)","453598","","","","","","","","","","","","","","","","","",""
"","","","","60ae62a5004d7bdf5428bb95","bdp_sd","Tue Apr 04 2023 12:28:28 GMT-0700 (Pacific Daylight Time)","453598","blur","1","2464","blurevent","1","","","","","","","","","","","","",""
"","","","","60ae62a5004d7bdf5428bb95","bdp_sd","Tue Apr 04 2023 12:28:28 GMT-0700 (Pacific Daylight Time)","453598","focus","1","2741","focusevent","","","","","","","","","","","","","",""
"instructions","1","6959","0.0-1.0","60ae62a5004d7bdf5428bb95","bdp_sd","Tue Apr 04 2023 12:28:28 GMT-0700 (Pacific Daylight Time)","453598","","","","","","[{""page_index"":0,""viewing_time"":6955}]","6955","","","","","","","","","","",""
"survey-text","2","212725","0.0-2.0","60ae62a5004d7bdf5428bb95","bdp_sd","Tue Apr 04 2023 12:28:28 GMT-0700 (Pacific Daylight Time)","453598","","","","","","","205764","{""Q0"":""Emory V"",""Q1"":""William C"",""Q2"":""Diane M"",""Q3"":""Brittany O"",""Q4"":""Madyson S""}","","","","","","","","","",""
"","","","","60ae62a5004d7bdf5428bb95","bdp_sd","Tue Apr 04 2023 12:28:28 GMT-0700 (Pacific Daylight Time)","453598","fullscreenenter","3","215454","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","3","216413","0.0-3.0","60ae62a5004d7bdf5428bb95","bdp_sd","Tue Apr 04 2023 12:28:28 GMT-0700 (Pacific Daylight Time)","453598","","","","","","","","","true","","","","","","","","",""
"instructions","4","271485","0.0-5.0","60ae62a5004d7bdf5428bb95","bdp_sd","Tue Apr 04 2023 12:28:28 GMT-0700 (Pacific Daylight Time)","453598","","","","","","[{""page_index"":0,""viewing_time"":10754},{""page_index"":1,""viewing_time"":33582},{""page_index"":2,""viewing_time"":10735}]","55071","","","","","","","","","","",""
"image-keyboard-response","5","288422","0.0-6.0-0.0-0.0","60ae62a5004d7bdf5428bb95","bdp_sd","Tue Apr 04 2023 12:28:28 GMT-0700 (Pacific Daylight Time)","453598","","","","blurwarn","1","","16935","","","","49","","","","","","",""
"html-keyboard-response","6","289175","0.0-6.0-1.0","60ae62a5004d7bdf5428bb95","bdp_sd","Tue Apr 04 2023 12:28:28 GMT-0700 (Pacific Daylight Time)","453598","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","7","300032","0.0-6.0-2.0","60ae62a5004d7bdf5428bb95","bdp_sd","Tue Apr 04 2023 12:28:28 GMT-0700 (Pacific Daylight Time)","453598","","","","offer","","","10855","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>Emory V</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$20<br>for<br>yourself","$55<br>for<br>1","0","20","55","1","OTHER"
"html-keyboard-response","8","300284","0.0-6.0-3.0","60ae62a5004d7bdf5428bb95","bdp_sd","Tue Apr 04 2023 12:28:28 GMT-0700 (Pacific Daylight Time)","453598","","","","offerFB","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$55<br>for<br>Emory V</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$20<br>for<br>yourself","$55<br>for<br>1","0","20","55","1",""
"html-keyboard-response","9","300785","0.0-6.0-1.1","60ae62a5004d7bdf5428bb95","bdp_sd","Tue Apr 04 2023 12:28:28 GMT-0700 (Pacific Daylight Time)","453598","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","10","314412","0.0-6.0-2.1","60ae62a5004d7bdf5428bb95","bdp_sd","Tue Apr 04 2023 12:28:28 GMT-0700 (Pacific Daylight Time)","453598","","","","offer","","","13625","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>for<br>Diane M</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25<br>for<br>yourself","$60<br>for<br>3","1","25","60","3","OTHER"
"html-keyboard-response","11","314664","0.0-6.0-3.1","60ae62a5004d7bdf5428bb95","bdp_sd","Tue Apr 04 2023 12:28:28 GMT-0700 (Pacific Daylight Time)","453598","","","","offerFB","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$60<br>for<br>Diane M</font></div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25<br>for<br>yourself","$60<br>for<br>3","1","25","60","3",""
"html-keyboard-response","12","315165","0.0-6.0-1.2","60ae62a5004d7bdf5428bb95","bdp_sd","Tue Apr 04 2023 12:28:28 GMT-0700 (Pacific Daylight Time)","453598","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","13","327437","0.0-6.0-2.2","60ae62a5004d7bdf5428bb95","bdp_sd","Tue Apr 04 2023 12:28:28 GMT-0700 (Pacific Daylight Time)","453598","","","","offer","","","12270","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>William C</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$33<br>for<br>yourself","$80<br>for<br>2","0","33","80","2","SELF"
