"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"focus","0","0","focusevent","63d842d3e9626bd5fe5c17b1","bdp_sd","Mon Mar 27 2023 16:16:06 GMT-0700 (Pacific Daylight Time)","344784","","","","","","","","","","","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_sd","Mon Mar 27 2023 16:16:06 GMT-0700 (Pacific Daylight Time)","344784","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_sd","Mon Mar 27 2023 16:16:06 GMT-0700 (Pacific Daylight Time)","344784","instructions","1","1334","0.0-1.0","[{""page_index"":0,""viewing_time"":1332}]","1332","","","","","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_sd","Mon Mar 27 2023 16:16:06 GMT-0700 (Pacific Daylight Time)","344784","survey-text","2","188908","0.0-2.0","","187572","{""Q0"":""Jesse T"",""Q1"":""Joe T"",""Q2"":""Jamison T"",""Q3"":""Jason T"",""Q4"":""Kevin R""}","","","","","","","","","",""
"fullscreenexit","3","190099","fullscreenexit","63d842d3e9626bd5fe5c17b1","bdp_sd","Mon Mar 27 2023 16:16:06 GMT-0700 (Pacific Daylight Time)","344784","","","","","","","","","","","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_sd","Mon Mar 27 2023 16:16:06 GMT-0700 (Pacific Daylight Time)","344784","fullscreen","3","190918","0.0-3.0","","","","true","","","","","","","","",""
"","","","fullscreenfail","63d842d3e9626bd5fe5c17b1","bdp_sd","Mon Mar 27 2023 16:16:06 GMT-0700 (Pacific Daylight Time)","344784","image-keyboard-response","4","194376","0.0-4.0-0.0","","3456","","","","32","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_sd","Mon Mar 27 2023 16:16:06 GMT-0700 (Pacific Daylight Time)","344784","instructions","5","279672","0.0-5.0","[{""page_index"":0,""viewing_time"":80515},{""page_index"":1,""viewing_time"":1841},{""page_index"":2,""viewing_time"":2681}]","85037","","","","","","","","","","",""
"","","","FIX","63d842d3e9626bd5fe5c17b1","bdp_sd","Mon Mar 27 2023 16:16:06 GMT-0700 (Pacific Daylight Time)","344784","html-keyboard-response","6","280173","0.0-6.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d842d3e9626bd5fe5c17b1","bdp_sd","Mon Mar 27 2023 16:16:06 GMT-0700 (Pacific Daylight Time)","344784","html-keyboard-response","7","284396","0.0-6.0-2.0","","4222","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>Jesse T</div></div><div class='cr'><div class='vertical-center'>$20<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$20<br>for<br>yourself","$55<br>for<br>1","1","20","55","1","OTHER"
