"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"focus","0","0","focusevent","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","","","","","","","","","","","","","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","instructions","1","3745","0.0-1.0","[{""page_index"":0,""viewing_time"":3743}]","3743","","","","","","","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","survey-text","2","89569","0.0-2.0","","85822","{""Q0"":""Pippi O"",""Q1"":""Will B"",""Q2"":""John R"",""Q3"":""Ken J"",""Q4"":""Kyle T""}","","","","","","","","","",""
"fullscreenexit","3","93456","fullscreenexit","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","","","","","","","","","","","","","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","fullscreen","3","94264","0.0-3.0","","","","true","","","","","","","","",""
"","","","fullscreenfail","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","image-keyboard-response","4","96742","0.0-4.0-0.0","","2477","","","","32","","","","","","",""
"","","","","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","instructions","5","133490","0.0-5.0","[{""page_index"":0,""viewing_time"":12631},{""page_index"":1,""viewing_time"":20099},{""page_index"":2,""viewing_time"":3753}]","36484","","","","","","","","","","",""
"","","","FIX","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","6","134003","0.0-6.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","7","135695","0.0-6.0-2.0","","1691","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>Pippi O</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$20<br>for<br>yourself","$55<br>for<br>1","0","20","55","1","OTHER"
"","","","offerFB","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","8","135947","0.0-6.0-3.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$55<br>for<br>Pippi O</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$20<br>for<br>yourself","$55<br>for<br>1","0","20","55","1",""
"","","","FIX","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","9","136462","0.0-6.0-1.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","10","138223","0.0-6.0-2.1","","1759","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>Kyle T</div></div><div class='cr'><div class='vertical-center'>$78<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$78<br>for<br>yourself","$80<br>for<br>5","1","78","80","5","SELF"
"","","","offerFB","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","11","138478","0.0-6.0-3.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>Kyle T</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$78<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$78<br>for<br>yourself","$80<br>for<br>5","1","78","80","5",""
"","","","FIX","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","12","138993","0.0-6.0-1.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","13","141067","0.0-6.0-2.2","","2073","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>Ken J</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$55<br>for<br>yourself","$75<br>for<br>4","1","55","75","4","OTHER"
"","","","offerFB","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","14","141320","0.0-6.0-3.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$75<br>for<br>Ken J</font></div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$55<br>for<br>yourself","$75<br>for<br>4","1","55","75","4",""
"","","","FIX","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","15","141832","0.0-6.0-1.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","16","143763","0.0-6.0-2.3","","1931","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>Kyle T</div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br>for<br>yourself","$55<br>for<br>5","1","54","55","5","SELF"
"","","","offerFB","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","17","144017","0.0-6.0-3.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>Kyle T</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$54<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br>for<br>yourself","$55<br>for<br>5","1","54","55","5",""
"","","","FIX","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","18","144527","0.0-6.0-1.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","19","146820","0.0-6.0-2.4","","2292","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>Will B</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$15<br>for<br>yourself","$35<br>for<br>2","0","15","35","2","OTHER"
"","","","offerFB","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","20","147082","0.0-6.0-3.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>Will B</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$15<br>for<br>yourself","$35<br>for<br>2","0","15","35","2",""
"","","","FIX","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","21","147583","0.0-6.0-1.5","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","22","149763","0.0-6.0-2.5","","2180","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>Ken J</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$19<br>for<br>yourself","$25<br>for<br>4","0","19","25","4","OTHER"
"","","","offerFB","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","23","150015","0.0-6.0-3.5","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>Ken J</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$19<br>for<br>yourself","$25<br>for<br>4","0","19","25","4",""
"","","","FIX","63ea5b93d1c6d38e1f57dcfa","bdp_sd","Sun Apr 09 2023 20:25:21 GMT-0400 (Eastern Daylight Time)","200646","html-keyboard-response","24","150530","0.0-6.0-1.6","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
