"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","numBlurs","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","8","0.0-0.0","5e223f4219295951f846dd16","bdp_sd","Sat Mar 25 2023 20:05:37 GMT-0400 (Eastern Daylight Time)","665362","","","","","","","","","","","","","","","","","",""
"instructions","1","91630","0.0-1.0","5e223f4219295951f846dd16","bdp_sd","Sat Mar 25 2023 20:05:37 GMT-0400 (Eastern Daylight Time)","665362","[{""page_index"":0,""viewing_time"":91617}]","91621","","","","","","","","","","","","","","","",""
"","","","","5e223f4219295951f846dd16","bdp_sd","Sat Mar 25 2023 20:05:37 GMT-0400 (Eastern Daylight Time)","665362","","","blur","2","141524","blurevent","1","","","","","","","","","","",""
"","","","","5e223f4219295951f846dd16","bdp_sd","Sat Mar 25 2023 20:05:37 GMT-0400 (Eastern Daylight Time)","665362","","","focus","2","143766","focusevent","","","","","","","","","","","",""
"survey-text","2","377920","0.0-2.0","5e223f4219295951f846dd16","bdp_sd","Sat Mar 25 2023 20:05:37 GMT-0400 (Eastern Daylight Time)","665362","","286283","","","","","","{""Q0"":""Tagean M"",""Q1"":""Brenden V"",""Q2"":""Jen M"",""Q3"":""Steve P"",""Q4"":""Brian R""}","","","","","","","","","",""
"","","","","5e223f4219295951f846dd16","bdp_sd","Sat Mar 25 2023 20:05:37 GMT-0400 (Eastern Daylight Time)","665362","","","fullscreenenter","3","379594","fullscreenenter","","","","","","","","","","","",""
"fullscreen","3","380578","0.0-3.0","5e223f4219295951f846dd16","bdp_sd","Sat Mar 25 2023 20:05:37 GMT-0400 (Eastern Daylight Time)","665362","","","","","","","","","true","","","","","","","","",""
"instructions","4","553730","0.0-5.0","5e223f4219295951f846dd16","bdp_sd","Sat Mar 25 2023 20:05:37 GMT-0400 (Eastern Daylight Time)","665362","[{""page_index"":0,""viewing_time"":17981},{""page_index"":1,""viewing_time"":17301},{""page_index"":2,""viewing_time"":137865}]","173148","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","570737","0.0-6.0-0.0-0.0","5e223f4219295951f846dd16","bdp_sd","Sat Mar 25 2023 20:05:37 GMT-0400 (Eastern Daylight Time)","665362","","16999","","","","blurwarn","1","","","","49","","","","","","",""
"html-keyboard-response","6","571498","0.0-6.0-1.0","5e223f4219295951f846dd16","bdp_sd","Sat Mar 25 2023 20:05:37 GMT-0400 (Eastern Daylight Time)","665362","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","7","576862","0.0-6.0-2.0","5e223f4219295951f846dd16","bdp_sd","Sat Mar 25 2023 20:05:37 GMT-0400 (Eastern Daylight Time)","665362","","5359","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>Brian R</div></div><div class='cr'><div class='vertical-center'>$28<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$28<br>for<br>yourself","$30<br>for<br>5","1","28","30","5","SELF"
"html-keyboard-response","8","577122","0.0-6.0-3.0","5e223f4219295951f846dd16","bdp_sd","Sat Mar 25 2023 20:05:37 GMT-0400 (Eastern Daylight Time)","665362","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>Brian R</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$28<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$28<br>for<br>yourself","$30<br>for<br>5","1","28","30","5",""
"html-keyboard-response","9","577626","0.0-6.0-1.1","5e223f4219295951f846dd16","bdp_sd","Sat Mar 25 2023 20:05:37 GMT-0400 (Eastern Daylight Time)","665362","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","10","581159","0.0-6.0-2.1","5e223f4219295951f846dd16","bdp_sd","Sat Mar 25 2023 20:05:37 GMT-0400 (Eastern Daylight Time)","665362","","3530","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>Jen M</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$27<br>for<br>yourself","$50<br>for<br>3","0","27","50","3","OTHER"
"html-keyboard-response","11","581418","0.0-6.0-3.1","5e223f4219295951f846dd16","bdp_sd","Sat Mar 25 2023 20:05:37 GMT-0400 (Eastern Daylight Time)","665362","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>Jen M</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$27<br>for<br>yourself","$50<br>for<br>3","0","27","50","3",""
"html-keyboard-response","12","581922","0.0-6.0-1.2","5e223f4219295951f846dd16","bdp_sd","Sat Mar 25 2023 20:05:37 GMT-0400 (Eastern Daylight Time)","665362","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","13","584595","0.0-6.0-2.2","5e223f4219295951f846dd16","bdp_sd","Sat Mar 25 2023 20:05:37 GMT-0400 (Eastern Daylight Time)","665362","","2670","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>Brenden V</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$11<br>for<br>yourself","$30<br>for<br>2","0","11","30","2","OTHER"
"html-keyboard-response","14","584851","0.0-6.0-3.2","5e223f4219295951f846dd16","bdp_sd","Sat Mar 25 2023 20:05:37 GMT-0400 (Eastern Daylight Time)","665362","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$30<br>for<br>Brenden V</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$11<br>for<br>yourself","$30<br>for<br>2","0","11","30","2",""
