"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","5","0.0-0.0","60fd738c235e974993ad455c","bdp_sd","Tue Mar 28 2023 16:33:17 GMT-0500 (Central Daylight Time)","459656","","","","","","","","","","","","","","","","","",""
"instructions","1","1652","0.0-1.0","60fd738c235e974993ad455c","bdp_sd","Tue Mar 28 2023 16:33:17 GMT-0500 (Central Daylight Time)","459656","[{""page_index"":0,""viewing_time"":1646}]","1646","","","","","","","","","","","","","","","",""
"survey-text","2","107190","0.0-2.0","60fd738c235e974993ad455c","bdp_sd","Tue Mar 28 2023 16:33:17 GMT-0500 (Central Daylight Time)","459656","","105536","{""Q0"":""Briana G"",""Q1"":""Keela V"",""Q2"":""Shu L"",""Q3"":""Linda J"",""Q4"":""Celeste Y""}","","","","","","","","","","","","","","",""
"","","","","60fd738c235e974993ad455c","bdp_sd","Tue Mar 28 2023 16:33:17 GMT-0500 (Central Daylight Time)","459656","","","","fullscreenenter","3","110501","fullscreenenter","","","","","","","","","","",""
"fullscreen","3","111492","0.0-3.0","60fd738c235e974993ad455c","bdp_sd","Tue Mar 28 2023 16:33:17 GMT-0500 (Central Daylight Time)","459656","","","","","","","","true","","","","","","","","","",""
"","","","","60fd738c235e974993ad455c","bdp_sd","Tue Mar 28 2023 16:33:17 GMT-0500 (Central Daylight Time)","459656","","","","blur","4","155696","blurevent","","1","","","","","","","","",""
"","","","","60fd738c235e974993ad455c","bdp_sd","Tue Mar 28 2023 16:33:17 GMT-0500 (Central Daylight Time)","459656","","","","focus","4","282272","focusevent","","","","","","","","","","",""
"","","","","60fd738c235e974993ad455c","bdp_sd","Tue Mar 28 2023 16:33:17 GMT-0500 (Central Daylight Time)","459656","","","","blur","4","299181","blurevent","","","","","","","","","","",""
"","","","","60fd738c235e974993ad455c","bdp_sd","Tue Mar 28 2023 16:33:17 GMT-0500 (Central Daylight Time)","459656","","","","focus","4","299997","focusevent","","","","","","","","","","",""
"instructions","4","342306","0.0-5.0","60fd738c235e974993ad455c","bdp_sd","Tue Mar 28 2023 16:33:17 GMT-0500 (Central Daylight Time)","459656","[{""page_index"":0,""viewing_time"":171628},{""page_index"":1,""viewing_time"":35584},{""page_index"":2,""viewing_time"":23599}]","230812","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","348740","0.0-6.0-0.0-0.0","60fd738c235e974993ad455c","bdp_sd","Tue Mar 28 2023 16:33:17 GMT-0500 (Central Daylight Time)","459656","","6432","","","","","blurwarn","","1","","49","","","","","","",""
"html-keyboard-response","6","349495","0.0-6.0-1.0","60fd738c235e974993ad455c","bdp_sd","Tue Mar 28 2023 16:33:17 GMT-0500 (Central Daylight Time)","459656","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","7","354052","0.0-6.0-2.0","60fd738c235e974993ad455c","bdp_sd","Tue Mar 28 2023 16:33:17 GMT-0500 (Central Daylight Time)","459656","","4554","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>Celeste Y</div></div><div class='cr'><div class='vertical-center'>$67<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$67<br>for<br>yourself","$75<br>for<br>5","1","67","75","5","SELF"
"html-keyboard-response","8","354307","0.0-6.0-3.0","60fd738c235e974993ad455c","bdp_sd","Tue Mar 28 2023 16:33:17 GMT-0500 (Central Daylight Time)","459656","","null","","","","","offerFB","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>Celeste Y</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$67<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$67<br>for<br>yourself","$75<br>for<br>5","1","67","75","5",""
"html-keyboard-response","9","354809","0.0-6.0-1.1","60fd738c235e974993ad455c","bdp_sd","Tue Mar 28 2023 16:33:17 GMT-0500 (Central Daylight Time)","459656","","null","","","","","FIX","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","10","358850","0.0-6.0-2.1","60fd738c235e974993ad455c","bdp_sd","Tue Mar 28 2023 16:33:17 GMT-0500 (Central Daylight Time)","459656","","4038","","","","","offer","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>for<br>Linda J</div></div><div class='cr'><div class='vertical-center'>$49<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$49<br>for<br>yourself","$60<br>for<br>4","1","49","60","4","SELF"
