"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen","numBlurs"
"focus","0","0","focusevent","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","","","","","","","","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","pavlovia","0","1","0.0-0.0","","","","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","instructions","1","1780","0.0-1.0","[{""page_index"":0,""viewing_time"":1779}]","1779","","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","survey-text","2","240559","0.0-2.0","","238778","{""Q0"":""Mia T"",""Q1"":""Russel B"",""Q2"":""Jesus H"",""Q3"":""John B"",""Q4"":""Starla T""}","","","","","","","","","","",""
"fullscreenexit","3","242859","fullscreenexit","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","","","","","","","","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","fullscreen","3","243658","0.0-3.0","","","","true","","","","","","","","","",""
"","","","fullscreenfail","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","image-keyboard-response","4","245296","0.0-4.0-0.0","","1636","","","","32","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","instructions","5","351812","0.0-5.0","[{""page_index"":0,""viewing_time"":20390},{""page_index"":1,""viewing_time"":68240},{""page_index"":0,""viewing_time"":10601},{""page_index"":1,""viewing_time"":2640},{""page_index"":2,""viewing_time"":4392}]","106263","","","","","","","","","","","",""
"","","","FIX","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","6","352313","0.0-6.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"","","","offer","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","7","367191","0.0-6.0-2.0","","14875","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>Jesus H</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$14<br>for<br>yourself","$25<br>for<br>3","0","14","25","3","OTHER",""
"","","","offerFB","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","8","367443","0.0-6.0-3.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>Jesus H</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$14<br>for<br>yourself","$25<br>for<br>3","0","14","25","3","",""
"","","","FIX","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","9","367944","0.0-6.0-1.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"","","","offer","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","10","372943","0.0-6.0-2.1","","4998","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>Jesus H</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25<br>for<br>yourself","$60<br>for<br>3","0","25","60","3","SELF",""
"","","","offerFB","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","11","373195","0.0-6.0-3.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>Jesus H</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25<br>for<br>yourself","$60<br>for<br>3","0","25","60","3","",""
"","","","FIX","63f58712a2c1bd62fa7bb352","bdp_sd","Mon Apr 03 2023 18:30:38 GMT-0600 (Mountain Daylight Time)","607000","html-keyboard-response","12","373696","0.0-6.0-1.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
