"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","numBlurs","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","2","0.0-0.0","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","","","","","","","","","","","","","","","","",""
"instructions","1","1530","0.0-1.0","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","[{""page_index"":0,""viewing_time"":1528}]","1528","","","","","","","","","","","","","","","",""
"","","","","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","","blur","2","123316","blurevent","1","","","","","","","","","","",""
"","","","","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","","focus","2","205810","focusevent","","","","","","","","","","","",""
"survey-text","2","336327","0.0-2.0","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","334796","","","","","","{""Q0"":""Brianna J"",""Q1"":""Valerie L"",""Q2"":""Riley P"",""Q3"":""Bryan H"",""Q4"":""Taylor B""}","","","","","","","","","",""
"","","","","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","","fullscreenenter","3","337942","fullscreenenter","","","","","","","","","","","",""
"fullscreen","3","338933","0.0-3.0","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","","","","","","","","true","","","","","","","","",""
"instructions","4","399174","0.0-5.0","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","[{""page_index"":0,""viewing_time"":30119},{""page_index"":1,""viewing_time"":24410},{""page_index"":2,""viewing_time"":5711}]","60240","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","410404","0.0-6.0-0.0-0.0","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","11229","","","","blurwarn","1","","","","49","","","","","","",""
"html-keyboard-response","6","411157","0.0-6.0-1.0","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","7","414698","0.0-6.0-2.0","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","3540","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>Taylor B</div></div><div class='cr'><div class='vertical-center'>$78<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$78<br>for<br>yourself","$80<br>for<br>5","1","78","80","5","SELF"
"html-keyboard-response","8","414949","0.0-6.0-3.0","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>Taylor B</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$78<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$78<br>for<br>yourself","$80<br>for<br>5","1","78","80","5",""
"html-keyboard-response","9","415451","0.0-6.0-1.1","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","10","419838","0.0-6.0-2.1","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","4386","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>Bryan H</div></div><div class='cr'><div class='vertical-center'>$19<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$19<br>for<br>yourself","$25<br>for<br>4","1","19","25","4","OTHER"
"html-keyboard-response","11","420090","0.0-6.0-3.1","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>Bryan H</font></div></div><div class='cr'><div class='vertical-center'>$19<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$19<br>for<br>yourself","$25<br>for<br>4","1","19","25","4",""
"html-keyboard-response","12","420592","0.0-6.0-1.2","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","13","423261","0.0-6.0-2.2","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","2668","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Taylor B</div></div><div class='cr'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br>for<br>yourself","$35<br>for<br>5","1","34","35","5","SELF"
"html-keyboard-response","14","423512","0.0-6.0-3.2","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Taylor B</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$34<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br>for<br>yourself","$35<br>for<br>5","1","34","35","5",""
"html-keyboard-response","15","424014","0.0-6.0-1.3","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","16","426235","0.0-6.0-2.3","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","2220","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>for<br>Taylor B</div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br>for<br>yourself","$60<br>for<br>5","1","54","60","5","SELF"
"html-keyboard-response","17","426487","0.0-6.0-3.3","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>for<br>Taylor B</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$54<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br>for<br>yourself","$60<br>for<br>5","1","54","60","5",""
"html-keyboard-response","18","426989","0.0-6.0-1.4","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","19","430926","0.0-6.0-2.4","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","3935","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>Bryan H</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br>for<br>yourself","$30<br>for<br>4","1","25","30","4","SELF"
"html-keyboard-response","20","431178","0.0-6.0-3.4","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>Bryan H</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br>for<br>yourself","$30<br>for<br>4","1","25","30","4",""
"html-keyboard-response","21","431680","0.0-6.0-1.5","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","22","436766","0.0-6.0-2.5","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","5085","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>Riley P</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$41<br>for<br>yourself","$75<br>for<br>3","0","41","75","3","OTHER"
"html-keyboard-response","23","437017","0.0-6.0-3.5","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$75<br>for<br>Riley P</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$41<br>for<br>yourself","$75<br>for<br>3","0","41","75","3",""
"html-keyboard-response","24","437518","0.0-6.0-1.6","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","25","441335","0.0-6.0-2.6","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","3816","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>Bryan H</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$55<br>for<br>yourself","$75<br>for<br>4","0","55","75","4","OTHER"
"html-keyboard-response","26","441587","0.0-6.0-3.6","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$75<br>for<br>Bryan H</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$55<br>for<br>yourself","$75<br>for<br>4","0","55","75","4",""
"html-keyboard-response","27","442095","0.0-6.0-1.7","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","28","445711","0.0-6.0-2.7","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","3615","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Valerie L</div></div><div class='cr'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$15<br>for<br>yourself","$35<br>for<br>2","1","15","35","2","OTHER"
"html-keyboard-response","29","445962","0.0-6.0-3.7","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>Valerie L</font></div></div><div class='cr'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$15<br>for<br>yourself","$35<br>for<br>2","1","15","35","2",""
"html-keyboard-response","30","446463","0.0-6.0-1.8","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","31","449174","0.0-6.0-2.8","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","2710","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$28<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>Taylor B</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$28<br>for<br>yourself","$30<br>for<br>5","0","28","30","5","SELF"
"html-keyboard-response","32","449426","0.0-6.0-3.8","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$28<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>Taylor B</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$28<br>for<br>yourself","$30<br>for<br>5","0","28","30","5",""
"html-keyboard-response","33","449928","0.0-6.0-1.9","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","34","451964","0.0-6.0-2.9","63034df51d918e1e3b97e5ce","bdp_sd","Sun Mar 26 2023 18:25:45 GMT-0400 (Eastern Daylight Time)","521465","","2035","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>for<br>Bryan H</div></div><div class='cr'><div class='vertical-center'>$49<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$49<br>for<br>yourself","$60<br>for<br>4","1","49","60","4","SELF"
