"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen","numBlurs"
"pavlovia","0","6","0.0-0.0","63d83eafdd418ada3528719e","bdp_sd","Mon Mar 27 2023 16:49:31 GMT-0400 (Eastern Daylight Time)","362703","","","","","","","","","","","","","","","","","",""
"instructions","1","5329","0.0-1.0","63d83eafdd418ada3528719e","bdp_sd","Mon Mar 27 2023 16:49:31 GMT-0400 (Eastern Daylight Time)","362703","[{""page_index"":0,""viewing_time"":5323}]","5323","","","","","","","","","","","","","","","",""
"survey-text","2","204079","0.0-2.0","63d83eafdd418ada3528719e","bdp_sd","Mon Mar 27 2023 16:49:31 GMT-0400 (Eastern Daylight Time)","362703","","198747","{""Q0"":""Deja J"",""Q1"":""Aiesha K"",""Q2"":""John J"",""Q3"":""Tyree N"",""Q4"":""Kate C""}","","","","","","","","","","","","","","",""
"","","","","63d83eafdd418ada3528719e","bdp_sd","Mon Mar 27 2023 16:49:31 GMT-0400 (Eastern Daylight Time)","362703","","","","fullscreenenter","3","206606","fullscreenenter","","","","","","","","","","",""
"fullscreen","3","207609","0.0-3.0","63d83eafdd418ada3528719e","bdp_sd","Mon Mar 27 2023 16:49:31 GMT-0400 (Eastern Daylight Time)","362703","","","","","","","","true","","","","","","","","","",""
"instructions","4","239683","0.0-5.0","63d83eafdd418ada3528719e","bdp_sd","Mon Mar 27 2023 16:49:31 GMT-0400 (Eastern Daylight Time)","362703","[{""page_index"":0,""viewing_time"":9638},{""page_index"":1,""viewing_time"":15669},{""page_index"":2,""viewing_time"":6764}]","32072","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","240188","0.0-6.0-1.0","63d83eafdd418ada3528719e","bdp_sd","Mon Mar 27 2023 16:49:31 GMT-0400 (Eastern Daylight Time)","362703","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","6","243226","0.0-6.0-2.0","63d83eafdd418ada3528719e","bdp_sd","Mon Mar 27 2023 16:49:31 GMT-0400 (Eastern Daylight Time)","362703","","3036","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$67<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>Kate C</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$67<br>for<br>yourself","$75<br>for<br>5","0","67","75","5","SELF",""
"html-keyboard-response","7","243489","0.0-6.0-3.0","63d83eafdd418ada3528719e","bdp_sd","Mon Mar 27 2023 16:49:31 GMT-0400 (Eastern Daylight Time)","362703","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$67<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>Kate C</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$67<br>for<br>yourself","$75<br>for<br>5","0","67","75","5","",""
"html-keyboard-response","8","244006","0.0-6.0-1.1","63d83eafdd418ada3528719e","bdp_sd","Mon Mar 27 2023 16:49:31 GMT-0400 (Eastern Daylight Time)","362703","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","9","247807","0.0-6.0-2.1","63d83eafdd418ada3528719e","bdp_sd","Mon Mar 27 2023 16:49:31 GMT-0400 (Eastern Daylight Time)","362703","","3799","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>Kate C</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22<br>for<br>yourself","$25<br>for<br>5","0","22","25","5","SELF",""
"html-keyboard-response","10","248066","0.0-6.0-3.1","63d83eafdd418ada3528719e","bdp_sd","Mon Mar 27 2023 16:49:31 GMT-0400 (Eastern Daylight Time)","362703","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$22<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>Kate C</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$22<br>for<br>yourself","$25<br>for<br>5","0","22","25","5","",""
"html-keyboard-response","11","248578","0.0-6.0-1.2","63d83eafdd418ada3528719e","bdp_sd","Mon Mar 27 2023 16:49:31 GMT-0400 (Eastern Daylight Time)","362703","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
"html-keyboard-response","12","250441","0.0-6.0-2.2","63d83eafdd418ada3528719e","bdp_sd","Mon Mar 27 2023 16:49:31 GMT-0400 (Eastern Daylight Time)","362703","","1861","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$47<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>Kate C</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$47<br>for<br>yourself","$50<br>for<br>5","0","47","50","5","SELF",""
"html-keyboard-response","13","250694","0.0-6.0-3.2","63d83eafdd418ada3528719e","bdp_sd","Mon Mar 27 2023 16:49:31 GMT-0400 (Eastern Daylight Time)","362703","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$47<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>Kate C</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$47<br>for<br>yourself","$50<br>for<br>5","0","47","50","5","",""
"html-keyboard-response","14","251206","0.0-6.0-1.3","63d83eafdd418ada3528719e","bdp_sd","Mon Mar 27 2023 16:49:31 GMT-0400 (Eastern Daylight Time)","362703","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","","",""
